Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Asheville,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Asheville,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Asheville,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Charlotte,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Charlotte,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Goldsboro,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Goldsboro,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Goldsboro,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Greenville,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Greenville,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Greenville,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Jacksonville,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Jacksonville,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,RockyMount,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,RockyMount,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,RockyMount,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Wilmington,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Wilmington,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Wilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
