County,Metropolitan,Town,Rural
AlamanceCounty,0,0,0
AlexanderCounty,0,0,0
AlleghanyCounty,0,0,0
AnsonCounty,0,0,0
AsheCounty,0,0,0
AveryCounty,0,0,0
BeaufortCounty,0,0,0
BertieCounty,0,0,0
BladenCounty,0,0,0
BrunswickCounty,0,0,0
BuncombeCounty,0,0,0
BurkeCounty,0,0,0
CabarrusCounty,0,0,0
CaldwellCounty,0,0,0
CamdenCounty,0,0,0
CarteretCounty,0,0,0
CaswellCounty,0,0,0
CatawbaCounty,0,0,0
ChathamCounty,0,0,0
CherokeeCounty,0,0,0
ChowanCounty,0,0,0
ClayCounty,0,0,0
ClevelandCounty,0,0,0
ColumbusCounty,0,0,0
CravenCounty,0,0,0
CumberlandCounty,0,0,0
CurrituckCounty,0,0,0
DareCounty,0,0,0
DavidsonCounty,0,0,0
DavieCounty,0,0,0
DuplinCounty,0,0,0
DurhamCounty,0,0,0
EdgecombeCounty,0,0,0
ForsythCounty,0,0,0
FranklinCounty,0,0,0
GastonCounty,0,0,0
GatesCounty,0,0,0
GrahamCounty,0,0,0
GranvilleCounty,0,0,0
GreeneCounty,0,0,0
GuilfordCounty,0,0,0
HalifaxCounty,0,0,0
HarnettCounty,0,0,0
HaywoodCounty,0,0,0
HendersonCounty,0,0,0
HertfordCounty,0,0,0
HokeCounty,0,0,0
HydeCounty,0,0,0
IredellCounty,0,0,0
JacksonCounty,0,0,0
JohnstonCounty,0,0,0
JonesCounty,0,0,0
LeeCounty,0,0,0
LenoirCounty,0,0,0
LincolnCounty,0,0,0
MaconCounty,0,0,0
MadisonCounty,0,0,0
MartinCounty,0,0,0
McDowellCounty,0,0,0
MecklenburgCounty,0,0,0
MitchellCounty,0,0,0
MontgomeryCounty,0,0,0
MooreCounty,0,0,0
NashCounty,0,0,0
NewHanoverCounty,0,0,0
NorthamptonCounty,0,0,0
OnslowCounty,0,0,0
OrangeCounty,0,0,0
PamlicoCounty,0,0,0
PasquotankCounty,0,0,0
PenderCounty,0,0,0
PerquimansCounty,0,0,0
PersonCounty,0,0,0
PittCounty,0,0,0
PolkCounty,0,0,0
RandolphCounty,0,0,0
RichmondCounty,0,0,0
RobesonCounty,0,0,0
RockinghamCounty,0,0,0
RowanCounty,0,0,0
RutherfordCounty,0,0,0
SampsonCounty,0,0,0
ScotlandCounty,0,0,0
StanlyCounty,0,0,0
StokesCounty,0,0,0
SurryCounty,0,0,0
SwainCounty,0,0,0
TransylvaniaCounty,0,0,0
TyrrellCounty,0,0,0
UnionCounty,0,0,0
VanceCounty,0,0,0
WakeCounty,0,0,0
WarrenCounty,0,0,0
WashingtonCounty,0,0,0
WataugaCounty,0,0,0
WayneCounty,0,0,0
WilkesCounty,0,0,0
WilsonCounty,0,0,0
YadkinCounty,0,0,0
YanceyCounty,0,0,0
