County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdamsCounty,353,138,192,700,392,568
BarnesCounty,1845,787,1299,3355,1610,2170
BensonCounty,1897,533,781,1863,733,853
BillingsCounty,103,49,73,267,140,151
BottineauCounty,980,458,591,1945,1073,1382
BowmanCounty,561,170,323,950,455,692
BurkeCounty,336,101,161,627,331,412
BurleighCounty,15327,5483,12292,27309,9984,10913
CassCounty,27634,10856,32613,48716,15409,14550
CavalierCounty,619,239,274,1206,633,1022
DickeyCounty,1010,352,573,1528,656,1170
DivideCounty,284,108,177,602,349,551
DunnCounty,618,229,364,1166,543,616
EddyCounty,404,139,168,720,368,586
EmmonsCounty,596,229,169,1050,535,971
FosterCounty,579,228,278,1079,421,758
GoldenValleyCounty,292,145,116,517,252,358
GrandForksCounty,11236,5944,16544,19275,6959,6903
GrantCounty,351,127,169,680,422,645
GriggsCounty,366,130,154,691,442,637
HettingerCounty,380,137,206,745,371,638
KidderCounty,416,156,229,751,372,511
LaMoureCounty,707,237,288,1275,610,1022
LoganCounty,340,106,130,588,269,557
McHenryCounty,933,341,456,1743,804,1118
McIntoshCounty,414,136,191,757,357,954
McKenzieCounty,1416,426,778,2020,818,902
McLeanCounty,1418,502,680,2820,1601,1941
MercerCounty,1444,511,782,3030,1329,1328
MortonCounty,5428,1726,3355,9382,3567,4013
MountrailCounty,1513,514,1143,2444,1009,1050
NelsonCounty,442,166,235,911,514,858
OliverCounty,344,94,138,611,351,308
PembinaCounty,1298,438,681,2339,1168,1489
PierceCounty,764,265,339,1361,599,1029
RamseyCounty,2024,843,1351,3624,1537,2072
RansomCounty,1035,346,422,1774,796,1084
RenvilleCounty,422,152,264,780,350,502
RichlandCounty,2995,1437,2249,5130,2086,2424
RoletteCounty,3846,1257,1764,4268,1404,1398
SargentCounty,679,265,301,1255,602,727
SheridanCounty,161,71,94,380,219,396
SiouxCounty,1276,409,596,1266,312,294
SlopeCounty,119,44,63,230,136,135
StarkCounty,4288,1682,4028,7486,2840,3875
SteeleCounty,329,121,157,629,298,441
StutsmanCounty,3562,1360,2821,6848,2891,3618
TownerCounty,349,121,156,697,371,552
TraillCounty,1479,604,913,2548,1056,1521
WalshCounty,2032,674,1060,3512,1604,2237
WardCounty,12323,4245,11908,18799,6374,8026
WellsCounty,614,208,278,1277,609,1221
WilliamsCounty,4280,1435,3185,7282,2888,3328
