"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.122549959181878,0.877450040818122,1,8
2,0.600741082912996,0.399258917087004,309,159
3,0.583120869506879,0.416879130493121,34,18
4,0.529581347655318,0.470418652344683,15,11
5,0.0763722238391646,0.923627776160835,0,1
6,0.192501294148437,0.807498705851563,0,1
7,0.0376082539969898,0.96239174600301,3,14
8,0.233455388714992,0.766544611285008,0,2
9,0.134342821827482,0.865657178172518,0,0
10,0.511086890555729,0.488913109444271,0,0
11,0.532061763030145,0.467938236969855,3,0
12,0.331165261780588,0.668834738219412,17,19
13,0.574043705293349,0.425956294706651,1,2
14,0.296984478905375,0.703015521094625,0,0
15,0.254762106060935,0.745237893939064,1,1
16,0.292247289852626,0.707752710147374,1,2
17,0.0512840369554983,0.948715963044502,0,0
18,0.595712731390873,0.404287268609127,3,2
19,0.458896381705954,0.541103618294046,2,1
20,0.153884141884506,0.846115858115494,1,0
21,0.48565728180227,0.51434271819773,2,0
22,0.813453600236439,0.186546399763561,28,4
23,0.220262195048898,0.779737804951102,7,0
24,0.143309869173441,0.856690130826559,0,0
25,0.172627570488467,0.827372429511533,0,0
26,0.289665444238862,0.710334555761138,4,6
27,0.0664638925860683,0.933536107413932,0,0
28,0.13006920545436,0.86993079454564,0,0
29,0.499509853805331,0.500490146194669,1,0
30,0.122154702334916,0.877845297665084,0,0
31,0.389358451946195,0.610641548053805,10,8
32,0.111509729259209,0.888490270740792,1,4
33,0.222753999270185,0.777246000729815,11,9
34,0.246669437682175,0.753330562317825,6,13
35,0.267488635666556,0.732511364333444,0,0
36,0.293822407273345,0.706177592726655,3,4
37,0.0687078468861626,0.931292153113837,0,6
38,0.301345390186715,0.698654609813286,0,0
39,0.187779510082017,0.812220489917983,2,2
40,0.42611070373442,0.57388929626558,56,44
41,0.764277925032677,0.235722074967323,22,3
43,0.0168182985519259,0.983181701448074,1,7
99,0.646446399835973,0.353553600164027,4,1
