"County","Metropolitan","Town","Rural"
"AdamsCounty",0,0,1
"BarnesCounty",0,0.6045,0.3955
"BensonCounty",0,0,1
"BillingsCounty",0,0,1
"BottineauCounty",0,0,1
"BowmanCounty",0,0,1
"BurkeCounty",0,0,1
"BurleighCounty",0.7777,0.0368,0.1855
"CassCounty",0.8957,0,0.1043
"CavalierCounty",0,0,1
"DickeyCounty",0,0,1
"DivideCounty",0,0,1
"DunnCounty",0,0,1
"EddyCounty",0,0,1
"EmmonsCounty",0,0,1
"FosterCounty",0,0,1
"GoldenValleyCounty",0,0,1
"GrandForksCounty",0.792,0.0403,0.1677
"GrantCounty",0,0,1
"GriggsCounty",0,0,1
"HettingerCounty",0,0,1
"KidderCounty",0,0,1
"LaMoureCounty",0,0,1
"LoganCounty",0,0,1
"McHenryCounty",0,0,1
"McIntoshCounty",0,0,1
"McKenzieCounty",0,0,1
"McLeanCounty",0,0,1
"MercerCounty",0,0.3501,0.6499
"MortonCounty",0.6814,0,0.3186
"MountrailCounty",0,0,1
"NelsonCounty",0,0,1
"OliverCounty",0,0,1
"PembinaCounty",0,0,1
"PierceCounty",0,0.6482,0.3518
"RamseyCounty",0,0.6501,0.3499
"RansomCounty",0,0,1
"RenvilleCounty",0,0,1
"RichlandCounty",0,0.48,0.52
"RoletteCounty",0,0,1
"SargentCounty",0,0,1
"SheridanCounty",0,0,1
"SiouxCounty",0,0,1
"SlopeCounty",0,0,1
"StarkCounty",0,0.7267,0.2733
"SteeleCounty",0,0,1
"StutsmanCounty",0,0.7244,0.2756
"TownerCounty",0,0,1
"TraillCounty",0,0,1
"WalshCounty",0,0.3794,0.6206
"WardCounty",0,0.781,0.219
"WellsCounty",0,0,1
"WilliamsCounty",0,0.6754,0.3246
