"County","AdamsCounty","AntelopeCounty","ArthurCounty","BannerCounty","BlaineCounty","BooneCounty","BoxButteCounty","BoydCounty","BrownCounty","BuffaloCounty","BurtCounty","ButlerCounty","CassCounty","CedarCounty","ChaseCounty","CherryCounty","CheyenneCounty","ClayCounty","ColfaxCounty","CumingCounty","CusterCounty","DakotaCounty","DawesCounty","DawsonCounty","DeuelCounty","DixonCounty","DodgeCounty","DouglasCounty","DundyCounty","FillmoreCounty","FranklinCounty","FrontierCounty","FurnasCounty","GageCounty","GardenCounty","GarfieldCounty","GosperCounty","GrantCounty","GreeleyCounty","HallCounty","HamiltonCounty","HarlanCounty","HayesCounty","HitchcockCounty","HoltCounty","HookerCounty","HowardCounty","JeffersonCounty","JohnsonCounty","KearneyCounty","KeithCounty","KeyaPahaCounty","KimballCounty","KnoxCounty","LancasterCounty","LincolnCounty","LoganCounty","LoupCounty","McPhersonCounty","MadisonCounty","MerrickCounty","MorrillCounty","NanceCounty","NemahaCounty","NuckollsCounty","OtoeCounty","PawneeCounty","PerkinsCounty","PhelpsCounty","PierceCounty","PlatteCounty","PolkCounty","RedWillowCounty","RichardsonCounty","RockCounty","SalineCounty","SarpyCounty","SaundersCounty","ScottsBluffCounty","SewardCounty","SheridanCounty","ShermanCounty","SiouxCounty","StantonCounty","ThayerCounty","ThomasCounty","ThurstonCounty","ValleyCounty","WashingtonCounty","WayneCounty","WebsterCounty","WheelerCounty","YorkCounty"
"AdamsCounty",12.2,136.9,218.4,323.7,162.4,99.9,319.9,178.3,200,57.6,182.8,107.9,160.9,195.7,191.8,293.6,267.7,27.6,124.2,166.7,113,207.6,368.9,94.1,225.9,195.8,146.1,163,184.7,57,51.3,125.5,91.9,114.1,249.5,122.4,82.9,244.8,84.1,33.9,47.6,76.5,164.7,146.5,151,207.9,60.8,98.9,132.7,29,198.4,220.4,299.6,173.2,115.1,145.2,166.8,136.2,183.3,146.4,60,282.4,79,156.4,53.2,150.5,150.7,209.8,56.2,168.2,109.7,81.4,121.4,178.9,184.6,83.2,159.3,141.9,318.4,97.5,331.6,74.4,360.1,150.3,75.7,180.4,189.7,99.7,178.2,171.7,38.8,106.6,69.6
"AntelopeCounty",136.9,15.1,252.2,391.1,141,40.3,303.2,73.7,107.3,149.7,108.5,107.5,174.2,71.2,314.1,202.9,335.1,124.8,93.5,77.5,135,99.2,304.8,199.3,293.3,77.7,115.9,148.1,323.6,132.3,180.4,248.1,230.9,199.7,316.9,85,205.5,244,72.5,111.6,98.7,210.2,279.5,285.4,46.3,200.5,100.8,181.3,205,158.2,265.8,123.5,367,39.9,159.9,213,190.9,109.7,217,41.2,78.2,332.5,62.8,226.6,152.3,195.3,228.8,277.2,182.8,37.8,77.4,87,260.3,251.8,97.7,158.4,157.4,139.4,352.3,131.5,270.6,116.9,361.1,58,158,173,97.2,90.5,129.6,68.1,168.8,47.7,107.9
"ArthurCounty",218.4,252.2,13.8,147.6,131.9,223.9,99.4,269.5,180.5,181.4,325.7,259.5,347.7,319.8,92.8,116.5,113.8,250.3,275.8,307.8,120.1,346.1,148.4,131.1,72,326.3,297.8,349.8,123.7,274.3,214,141.6,173.8,341.6,75.1,179.4,148.5,26.4,190.7,214.1,234.3,199.6,121,130.6,241.7,67.6,182,323.2,347,191.8,34.6,209.9,145.6,288.4,301.9,92.2,68.5,166.3,36.4,277.9,213.4,108,218.4,368.6,263.8,337.2,370.7,62.7,172.2,286.4,249.3,233,164.1,393.8,207.2,300.4,346,285.3,143.9,284.2,113.2,163.4,185.6,281.9,300,95.3,332.4,162.8,364.9,303.3,238.7,208.5,256.4
"BannerCounty",323.7,391.1,147.6,14.1,237.6,391.9,81,354.2,286.1,286.7,474.8,399.9,452.9,487.7,173.3,234.9,72.9,355.6,416.2,458.7,259,499.5,119.3,236.3,99.6,487.8,438.1,455,216.3,379.5,319.3,234.1,279.1,446.9,91,318.3,253.8,145.8,329.6,319.4,339.6,304.8,213.6,223.2,349,173.2,340.3,428.5,452.2,297.1,137,293.4,27.2,427.4,407.1,184.8,215.5,305.3,184,438.4,352,43.4,371,473.9,369.1,442.5,476,155.3,277.5,425.4,401.7,373.4,256.7,499,312.1,405.7,451.3,433.9,26.2,389.5,129.1,320.6,69.3,442.3,405.3,200.9,481.7,301.7,470.2,463.7,343.9,347.5,361.6
"BlaineCounty",162.4,141,131.9,237.6,13.8,120.2,167.3,142.7,53.6,110.8,222,186.4,273.6,208.6,206.8,150.2,227.8,176.2,183.2,204.1,52.3,236.6,216.3,106.5,186,215.1,212,244.1,237.7,200.2,162.3,143.3,144,267.6,209.6,64.8,118.7,108.1,104.8,133.5,152.6,151.7,172.2,191.8,117.3,64.5,108.9,249.1,272.9,140.1,158.4,83.1,259.6,177.3,227.8,105.6,71.2,49.8,101.7,171.8,140.3,196.6,134.2,294.5,203.6,263.1,296.6,169.8,124.3,175.3,161.3,159.9,173.4,319.7,80.4,226.3,271.9,212.2,216.4,210.1,181.1,95.6,258.2,178.1,225.9,37,228.6,75.8,225.6,199.5,187,97.4,182.3
"BooneCounty",99.9,40.3,223.9,391.9,120.2,13.5,282.4,108.6,142.2,124.3,102.4,70.4,150.7,104,314.9,237.8,335.9,87.8,63.7,84.5,106.8,122.8,339.8,162.3,294.1,110.2,92.4,124.6,286.6,95.3,143.3,211,193.8,162.7,317.7,64.2,168.5,223.2,39.7,74.6,61.6,173.2,280.3,248.4,81.3,179.6,68,144.2,168,121.1,266.5,158.5,367.7,76.5,122.9,213.3,162.7,88.9,188.8,54.6,41.1,311.7,25.8,189.6,115.3,158.2,191.7,277.9,145.8,74.5,41.7,50,223.3,214.8,132.7,121.4,133.9,102.3,331.5,94.5,296.2,88.7,373.3,58.6,121,152.2,109.1,69.7,106,80,131.8,44.3,70.8
"BoxButteCounty",319.9,303.2,99.4,81,167.3,282.4,16.9,277.6,211,282.9,384.2,340,449.1,365.7,181.6,158.3,78.5,351.8,345.4,366.3,200.6,396.1,49,232.5,107.4,374.6,374.2,451.3,212.5,375.7,315.5,230.4,275.3,443.1,88.9,227,250,75.6,267,315.6,335.8,301,209.8,219.4,272.4,103,262.5,424.7,448.5,293.3,126.2,216.8,103.3,335.4,403.4,181,166.3,212,135.8,334,293.9,40.1,296.4,470.1,365.3,438.7,472.2,151.5,273.7,334.7,323.5,313.5,252.9,495.2,235.5,401.9,447.5,365.8,59.8,385.7,52.5,243.9,98.9,340.3,401.5,130.6,390.9,238,387.8,361.7,340.1,259.6,357.9
"BoydCounty",178.3,73.7,269.5,354.2,142.7,108.6,277.6,12,90.2,177.7,176.9,175.9,263.2,90.7,338.7,165.6,359.7,192.1,161.9,145.9,159.6,131.9,267.5,213.8,317.9,118.5,184.3,232.4,344.1,200.7,221.7,269.4,251.3,268.1,341.5,103.9,226,245.7,100.6,149.4,168.5,238.8,304.1,305.9,38.9,202.1,128.9,249.6,273.4,199.5,290.3,62.4,391.5,60.3,228.3,237.5,208.8,125.1,239.2,109.6,146.5,313.3,131.1,294.2,219.6,263.6,297.1,301.7,211.4,92.3,145.8,155.4,280.8,320.3,74.1,226.8,242.9,207.8,331.7,199.9,233.3,145,323.9,126.3,226.4,174.6,159.3,118.6,197.9,127.4,210.2,75.8,176.2
"BrownCounty",200,107.3,180.5,286.1,53.6,142.2,211,90.2,18,151.4,210.5,209.4,276.2,160.4,255.4,99,276.3,213.8,195.4,179.4,100.8,188.5,201,155.1,234.6,166.9,217.9,250.1,286.2,237.8,202.9,191.9,192.6,305.2,258.1,97.3,167.3,156.6,134.1,171.1,190.3,192.2,220.8,240.3,64.8,113.1,141.3,286.8,310.5,180.7,207,30.6,308.2,129.1,265.4,154.2,119.7,72.3,150.2,143.2,172.8,245.1,164.7,332.1,241.3,300.8,334.3,218.4,164.8,127.1,179.4,189,222,357.3,27.9,263.9,259.4,241.3,265.1,247.8,166.8,134.7,257.3,159.9,263.5,85.6,199.2,108.2,231.5,162.2,227.5,109.4,219.9
"BuffaloCounty",57.6,149.7,181.4,286.7,110.8,124.3,282.9,177.7,151.4,16.1,207.1,132.3,185.3,220.1,209.7,242,230.7,87.9,148.5,191,61.5,231.9,331.9,57.1,188.9,220.2,170.5,187.4,181.4,111.9,53.2,105.9,88.6,179.3,212.5,89.8,63.3,207.8,88.2,45.1,71.9,68,175.1,143.2,150.4,156.3,60.1,160.8,184.6,30.9,161.4,171.8,262.6,185.9,139.5,108.2,114.7,87.6,146.3,170.7,84.4,245.4,103.4,206.2,103,174.8,208.3,172.8,40.6,192.6,134,105.7,118.1,231.4,136,138,183.6,166.3,281.4,121.9,272.9,35.6,323.1,174.7,137.6,128.8,214.1,60.3,202.6,196.1,77.8,106.1,94
