"SCTG","Payload","N"
1,17.6725314596279,36
2,14.5942501034497,250
3,11.9143936810154,24
4,12.2676526020932,23
5,21.3208690820908,38
6,18.7542202599779,84
7,15.3457529267971,31
8,10.2941785681165,3
9,12.5303662811142,0
10,12.7559630168912,2
11,14.7601763932821,4
12,13.4446078713449,26
13,14.57148120894,6
14,19.7343283246373,0
15,21.9759244651015,0
16,14.0428921341034,0
17,24.3515448152176,0
18,11.7399553387464,7
19,9.3205966594687,7
20,14.6935220971178,1
21,5.12434471305138,0
22,9.40037700279686,22
23,12.2174191704086,9
24,6.39719242676317,11
25,17.5629107877451,1
26,9.26397118371913,9
27,16.5382555630002,1
28,13.1552492378572,1
29,5.51350467372506,1
30,10.307661585523,3
31,15.2914733628706,43
32,12.2402812906222,5
33,4.21803884735027,18
34,12.005209046069,25
35,6.91185118160956,4
36,3.98509472261117,12
37,17.1134794135312,2
38,4.51852664992441,1
39,7.06406860103406,3
40,10.1135536108978,138
41,6.26945033643372,24
43,16.1594565913062,203
99,10.8934974922361,4
