"County","Metropolitan","Town"
"AdamsCounty",0,8.68035674706
"AntelopeCounty",0,0
"ArthurCounty",0,0
"BannerCounty",0,0
"BlaineCounty",0,0
"BooneCounty",0,0
"BoxButteCounty",0,4.653700147366
"BoydCounty",0,0
"BrownCounty",0,0
"BuffaloCounty",0,13.289379487598
"BurtCounty",0,0
"ButlerCounty",0,1.301556405734
"CassCounty",0.202842932822,2.839763993716
"CedarCounty",0,0
"ChaseCounty",0,0
"CherryCounty",0,1.842974112866
"CheyenneCounty",0,3.20747672766
"ClayCounty",0,0
"ColfaxCounty",0,2.537449216532
"CumingCounty",0,1.516327959846
"CusterCounty",0,1.903530736648
"DakotaCounty",10.7167050273,0
"DawesCounty",0,1.907878245168
"DawsonCounty",0,7.477323919176
"DeuelCounty",0,0
"DixonCounty",0,0
"DodgeCounty",0,10.900472976914
"DouglasCounty",168.72226124066,0
"DundyCounty",0,0
"FillmoreCounty",0,0
"FranklinCounty",0,0
"FrontierCounty",0,0
"FurnasCounty",0,0
"GageCounty",0,6.715119188772
"GardenCounty",0,0
"GarfieldCounty",0,0
"GosperCounty",0,0
"GrantCounty",0,0
"GreeleyCounty",0,0
"HallCounty",27.663770460332,0
"HamiltonCounty",0,2.109685652426
"HarlanCounty",0,0
"HayesCounty",0,0
"HitchcockCounty",0,0
"HoltCounty",0,2.085996364216
"HookerCounty",0,0
"HowardCounty",0,0
"JeffersonCounty",0,2.010062842182
"JohnsonCounty",0,0
"KearneyCounty",0,1.455550099618
"KeithCounty",0,2.129799636116
"KeyaPahaCounty",0,0
"KimballCounty",0,0
"KnoxCounty",0,0
"LancasterCounty",88.469617677904,1.217483467438
"LincolnCounty",0,11.922403503392
"LoganCounty",0,0
"LoupCounty",0,0
"McPhersonCounty",0,0
"MadisonCounty",0,11.728064081018
"MerrickCounty",0.46585522912,1.685842568028
"MorrillCounty",0,0
"NanceCounty",0,0
"NemahaCounty",0,2.009503380384
"NuckollsCounty",0,0
"OtoeCounty",0,3.406868294704
"PawneeCounty",0,0
"PerkinsCounty",0,0
"PhelpsCounty",0,2.310185718312
"PierceCounty",0,0
"PlatteCounty",0,8.026573319276
"PolkCounty",0,0
"RedWillowCounty",0,4.641618629684
"RichardsonCounty",0,1.84795367036
"RockCounty",0,0
"SalineCounty",0,2.520114395038
"SarpyCounty",68.556476140162,0
"SaundersCounty",0,3.40396017444
"ScottsBluffCounty",0,13.151610185856
"SewardCounty",0,2.665266739224
"SheridanCounty",0,0
"ShermanCounty",0,0
"SiouxCounty",0,0
"StantonCounty",0,0.591365792362
"ThayerCounty",0,0
"ThomasCounty",0,0
"ThurstonCounty",0,0
"ValleyCounty",0,0
"WashingtonCounty",0,4.012753066674
"WayneCounty",0,1.798148056768
"WebsterCounty",0,0
"WheelerCounty",0,0
"YorkCounty",0,3.6782972285
