Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtExt,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,Omaha,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtExt,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSev,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyExt,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySev,SiouxCity,0,0,0,0,0,0,0,0,0,0,0,0,0
