"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"BelknapCounty",57,46,142,1119,2602,658,4764,453,265,488,290,732,599,837,2351,4118,655,2694,812,1100
"CarrollCounty",98,25,173,1011,857,313,3230,195,292,414,230,489,168,603,2272,2919,574,3411,528,872
"CheshireCounty",213,7,57,1360,4542,1281,4917,539,406,1126,279,852,968,1000,3986,4284,267,2602,1424,1358
"CoosCounty",220,9,120,491,655,190,1547,259,53,198,79,141,174,246,1217,2481,294,1623,231,879
"GraftonCounty",249,38,161,1336,4959,1003,6162,618,702,799,492,2081,383,1228,10460,12119,1142,4609,1071,1781
"HillsboroughCounty",126,80,356,6960,24625,9368,28668,4233,5489,9920,2310,14756,3292,12400,15317,29084,1974,14831,7601,6370
"MerrimackCounty",422,135,448,3527,5970,4396,9949,1366,766,4211,830,3697,496,2827,8808,13730,1632,4714,2947,9161
"RockinghamCounty",184,116,1028,6298,14152,8172,25958,4838,2996,5610,1791,8873,1901,10162,11925,15792,2376,12554,4266,4494
"StraffordCounty",149,21,66,1313,5352,1411,6632,830,1027,3984,342,1910,196,2170,7748,6810,456,3676,1484,1858
"SullivanCounty",190,32,67,593,3117,456,2059,189,88,449,112,408,94,554,1661,1553,112,721,319,723
