"SCTG","Payload","N"
1,12.2468285097997,5
2,13.9906102244086,4
3,6.85446506975846,15
4,5.33777177205371,14
5,15.3568767024241,3
6,5.92686271885712,7
7,10.0550394252613,29
8,10.2941785681165,3
9,12.5303662811142,0
10,12.7559630168912,3
11,9.63131443703036,21
12,15.5207841689787,128
13,14.57148120894,7
14,19.7343283246373,0
15,21.9759244651015,0
16,14.0428921341034,2
17,24.3515448152176,4
18,11.3258920762043,23
19,7.03820324423325,10
20,10.1363636363636,11
21,5.12434471305138,1
22,9.93234871988097,2
23,12.2174191704086,4
24,9.66549316294252,6
25,11.4332095452217,52
26,8.78450736355427,47
27,16.5382555630002,1
28,13.1552492378572,7
29,5.51350467372506,5
30,10.307661585523,7
31,13.6722065618403,57
32,12.2402812906222,6
33,4.08749463708983,39
34,12.4646192962142,22
35,6.91185118160956,4
36,4.52508506950704,17
37,17.1134794135312,6
38,4.51852664992441,0
39,7.06406860103406,9
40,6.65155895896277,199
41,9.10083563978943,64
43,10.7983437844212,12
99,10.8934974922361,8
