County,Region,Msa
HudsonCounty,,NewYorkNewark
BurlingtonCounty,,NewYorkNewark
HunterdonCounty,,NewYorkNewark
MercerCounty,,NewYorkNewark
MiddlesexCounty,,NewYorkNewark
MonmouthCounty,,NewYorkNewark
MorrisCounty,,NewYorkNewark
OceanCounty,,NewYorkNewark
PassaicCounty,,NewYorkNewark
AtlanticCounty,,NewYorkNewark
BergenCounty,,NewYorkNewark
SussexCounty,,NewYorkNewark
CumberlandCounty,,NewYorkNewark
UnionCounty,,NewYorkNewark
WarrenCounty,,NewYorkNewark
CapeMayCounty,,NewYorkNewark
SomersetCounty,,NewYorkNewark
SalemCounty,,NewYorkNewark
EssexCounty,,NewYorkNewark
CamdenCounty,,NewYorkNewark
GloucesterCounty,,NewYorkNewark
