"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"ChurchillCounty",264,61,111,398,395,180,874,645,142,117,92,225,6,406,755,888,376,594,179,546
"ClarkCounty",134,582,3415,44208,20775,21452,102277,33929,11349,23482,18744,38486,16992,65915,57467,80404,19063,262155,20722,33004
"DouglasCounty",118,44,83,920,1683,236,2071,282,127,327,318,663,152,791,1237,1402,638,4907,383,1057
"ElkoCounty",250,4651,96,1467,187,1207,2386,579,164,295,279,482,843,560,1952,1526,441,5450,594,1688
"EsmeraldaCounty",15,235,1,41,9,8,7,0,0,0,0,0,0,2,27,0,0,8,7,57
"EurekaCounty",8,208,29,1,1,11,32,24,0,2,0,9,0,10,104,8,0,42,9,120
"HumboldtCounty",302,2792,127,364,235,172,867,162,65,56,31,97,5,331,592,520,99,962,170,509
"LanderCounty",42,997,9,399,28,67,207,124,1,12,7,35,0,20,154,159,81,130,91,306
"LincolnCounty",23,34,25,20,21,9,162,25,34,32,17,17,3,13,247,147,5,98,13,169
"LyonCounty",574,298,86,645,1981,266,2064,592,13,186,162,323,27,412,1190,459,731,647,266,675
"MineralCounty",1,55,14,33,1,17,95,5,7,24,1,28,2,284,131,207,0,126,9,159
"NyeCounty",157,1245,154,470,103,94,961,75,87,77,102,264,20,638,1015,763,509,1423,236,968
"PershingCounty",75,667,18,1,40,4,142,25,3,8,4,14,0,14,131,117,8,118,31,238
"StoreyCounty",8,91,101,166,682,78,98,1378,8,2,12,58,0,120,89,124,44,139,76,151
"WashoeCounty",119,369,789,10883,11584,9319,22174,12852,2228,5740,3507,10365,2820,14830,17098,21796,5562,30083,5384,8237
"WhitePineCounty",60,1620,50,145,69,70,360,72,22,53,34,58,27,58,286,330,65,508,55,594
"CarsonCity",47,32,137,897,2753,540,2552,212,387,770,319,766,374,930,1887,3909,1155,2338,636,6208
