County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
ChurchillCounty,5136,1708,3076,7946,3230,3781
ClarkCounty,408053,131440,276939,699130,215262,220445
DouglasCounty,7639,2841,4133,14906,7999,9479
ElkoCounty,11838,3837,6581,16831,5588,4143
EsmeraldaCounty,108,38,42,235,158,202
EurekaCounty,392,128,172,737,301,257
HumboldtCounty,3779,1153,2115,5677,2112,1692
LanderCounty,1300,453,688,1913,740,681
LincolnCounty,1084,497,552,1520,724,968
LyonCounty,10567,3532,5080,17202,7384,8215
MineralCounty,685,292,478,1416,825,1076
NyeCounty,7332,2690,3579,12880,7164,10301
PershingCounty,1094,381,827,2755,821,875
StoreyCounty,545,230,276,1357,864,738
WashoeCounty,82696,29346,61641,143526,53319,50879
WhitePineCounty,1768,579,1263,3523,1403,1494
CarsonCity,9712,3455,6711,18658,7605,9133
