"County","AlbanyCounty","AlleganyCounty","BronxCounty","BroomeCounty","CattaraugusCounty","CayugaCounty","ChautauquaCounty","ChemungCounty","ChenangoCounty","ClintonCounty","ColumbiaCounty","CortlandCounty","DelawareCounty","DutchessCounty","ErieCounty","EssexCounty","FranklinCounty","FultonCounty","GeneseeCounty","GreeneCounty","HamiltonCounty","HerkimerCounty","JeffersonCounty","KingsCounty","LewisCounty","LivingstonCounty","MadisonCounty","MonroeCounty","MontgomeryCounty","NassauCounty","NewYorkCounty","NiagaraCounty","OneidaCounty","OnondagaCounty","OntarioCounty","OrangeCounty","OrleansCounty","OswegoCounty","OtsegoCounty","PutnamCounty","QueensCounty","RensselaerCounty","RichmondCounty","RocklandCounty","StLawrenceCounty","SaratogaCounty","SchenectadyCounty","SchoharieCounty","SchuylerCounty","SenecaCounty","SteubenCounty","SuffolkCounty","SullivanCounty","TiogaCounty","TompkinsCounty","UlsterCounty","WarrenCounty","WashingtonCounty","WayneCounty","WestchesterCounty","WyomingCounty","YatesCounty"
"AlbanyCounty",11.9,279.3,155.5,132.2,325.8,169.2,341.5,192.6,117.6,164,42.5,152.9,104.3,84.4,283.1,117.2,174.8,48.6,247.9,42.3,95.8,82.9,184.4,161.6,141.5,250.2,107.8,223.1,42.4,179,159.9,293.8,100.8,142.3,205.2,106.9,260.6,154.1,93,112.3,165.8,21.8,166.6,127.9,198.4,31,15.4,46.6,189.3,190.5,235.1,206.6,108.6,162.3,166.6,65.8,63.1,68.7,194.9,138.6,265.4,208.4
"AlleganyCounty",279.3,16.5,327.3,148,54.8,117.2,95.8,88.1,181.4,374.3,292.9,145.5,212.2,288.1,70.5,327.4,319.7,256.6,71.8,267.8,261.8,215.4,212.6,330.4,229.3,56.4,176.1,96.1,242,350.8,323.4,93.1,186.4,145.6,83.3,271.7,91.3,161.7,214.8,307.6,337.6,296.2,325.4,307.2,270.4,289.1,268.8,245.5,90.5,104.2,53.9,378.5,233.3,130.3,118.3,264.3,325.5,341.5,115.8,317.9,47.7,75.7
"BronxCounty",155.5,327.3,3.9,185,373.8,257.4,414.9,240.7,215.8,317.6,123.7,221.1,166.2,80.7,375.3,270.8,328.4,202.2,349,128.5,249.4,236.5,327.4,21.5,295.1,320.1,243.6,330.2,196.1,25.3,11,396.6,254.4,255.4,289.9,68.3,367.8,291.5,214.8,54.2,12.1,165.2,30.7,31.8,352,184.6,169,163.7,248.9,265.2,283.1,52.9,102.8,210.3,234.7,110.7,216.7,200.4,299.2,23.4,343.5,278.4
"BroomeCounty",132.2,148,185,13.8,194.5,74.4,235.6,61.4,35,279.3,145.8,38,65.2,145.9,196.1,232.5,251.4,132.3,169.7,120.8,172.8,110.9,144.3,188.2,156.2,140.9,85.3,147.2,119.1,208.6,181.1,217.8,115.4,72.3,106.8,129.4,184.7,108.4,67.8,165.4,195.4,149.2,183.2,165,202.1,142.1,121.8,98.5,69.6,82.1,103.8,236.2,91.1,31,51.6,122.1,178.4,194.5,116.1,175.6,164.2,99.1
"CattaraugusCounty",325.8,54.8,373.8,194.5,18.7,163.7,55,134.6,227.9,424.5,339.4,192,258.8,334.6,48.6,377.7,369.9,306.8,87.5,314.4,312,265.6,262.8,377,279.5,83.9,226.3,119.3,292.2,397.4,369.9,73.1,236.6,195.8,113,318.2,102.6,204.4,261.3,354.2,384.2,342.8,372,353.8,320.7,327.1,315.3,292,137,150.7,100.4,425,279.9,176.9,164.9,310.9,361.6,370.3,166.6,364.4,68.4,122.2
"CayugaCounty",169.2,117.2,257.4,74.4,163.7,15.1,191.2,67.2,87.6,262.5,209.9,40.6,122.3,218.3,132.8,215.7,207.9,144.8,97.6,159,150,103.7,100.8,260.6,117.5,83.9,50.1,72.8,130.2,281,253.5,143.5,74.6,28.2,40.3,201.8,110.3,49.5,106.5,237.8,267.8,186.1,255.6,237.4,158.7,165.1,155.2,128.9,54.8,23.6,75.9,308.6,163.5,63.7,34.9,194.5,199.6,208.3,41.8,248,115.1,44.6
"ChautauquaCounty",341.5,95.8,414.9,235.6,55,191.2,19.9,175.7,269,434.9,382.3,232,299.8,375.7,59,388,380.3,317.2,97.8,355.4,322.4,276,273.2,418,289.9,118.1,236.7,129.7,302.6,438.4,411,83.4,246.9,206.2,149.1,359.3,113,214.7,302.4,395.2,425.2,358.5,413,394.8,331,337.4,327.6,333.1,178.1,175,141.4,466.1,320.9,217.9,205.9,351.9,372,380.7,177,405.5,94.4,163.3
"ChemungCounty",192.6,88.1,240.7,61.4,134.6,67.2,175.7,10.4,94.8,339.8,206.3,62.4,125.6,201.5,136.1,292.9,267.4,192.7,109.8,181.2,206.8,160.5,160.3,243.8,172.2,80.9,101.3,109.8,179.5,264.2,236.8,157.4,131.4,88.3,70.5,185.1,129.3,124.4,128.2,221.1,251,209.6,238.8,220.6,218.1,202.6,182.2,158.9,21.1,53.3,43.9,291.9,146.7,43.7,35.2,177.7,238.9,254.9,80.1,231.3,104.3,50.6
"ChenangoCounty",117.6,181.4,215.8,35,227.9,87.6,269,94.8,15.4,264.7,131.2,51.2,67.2,161.3,219.5,217.9,216.3,110.9,184.3,106.2,133.9,76.9,141.1,221.6,105.8,174.3,46.2,159.5,104.4,239.3,214.5,230.1,63.5,73.7,120,152.7,197,105.3,49.1,188.7,226.1,134.5,216.6,188.2,178.9,127.5,107.1,83.8,87.5,95.3,137.2,267,114.3,64.6,64.8,145.3,163.8,179.8,129.3,198.9,197.6,117
"ClintonCounty",164,374.3,317.6,279.3,424.5,262.5,434.9,339.8,264.7,17.2,198.7,269.5,251.4,246.5,376.4,63.7,67.6,150.9,341.2,204.5,135.9,182.3,159.3,323.8,159.3,343.5,224.2,316.4,163.4,341.1,322.1,387.1,193.4,235.6,298.5,269,354,205.8,240.1,274.5,328,168.4,328.8,290.1,96,137.7,158.3,193.7,314.3,283.8,333,368.8,270.8,309.4,286.3,228,101.5,139.4,259.9,300.7,358.7,301.8
"ColumbiaCounty",42.5,292.9,123.7,145.8,339.4,209.9,382.3,206.3,131.2,198.7,13.1,166.5,103.4,58.6,323.8,151.9,209.5,89.3,288.6,26.1,136.5,123.6,225.1,138.7,182.2,290.9,148.5,263.8,83.2,143.6,128.2,334.5,141.5,183,245.9,92.2,301.4,194.8,106.6,77.4,131.6,42.6,151.9,113.3,233.1,65.7,56.1,61.3,202.9,231.2,248.7,171.3,93.9,175.9,180.2,51.2,97.8,93,235.6,100.9,306.1,249.2
