Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtSmooth,AlbanySchenectady,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,AlbanySchenectady,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,AlbanySchenectady,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,AlbanySchenectady,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Binghamton,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Binghamton,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Binghamton,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Binghamton,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Elmira,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Elmira,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Elmira,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Elmira,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Ithaca,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Ithaca,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Ithaca,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Ithaca,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,NewYorkNewark,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,NewYorkNewark,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,NewYorkNewark,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,NewYorkNewark,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Rochester,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Rochester,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Rochester,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Rochester,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Syracuse,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Syracuse,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Syracuse,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Syracuse,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Utica,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Utica,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Utica,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Utica,0,0,0,0,0,0,0,0,0,0,0,0,0
