County,Metropolitan,Town
AlbanyCounty,1,1
AlleganyCounty,1,1
BronxCounty,1,1
BroomeCounty,1,1
CattaraugusCounty,1,1
CayugaCounty,1,1
ChautauquaCounty,1,1
ChemungCounty,1,1
ChenangoCounty,1,1
ClintonCounty,1,1
ColumbiaCounty,1,1
CortlandCounty,1,1
DelawareCounty,1,1
DutchessCounty,1,1
ErieCounty,1,1
EssexCounty,1,1
FranklinCounty,1,1
FultonCounty,1,1
GeneseeCounty,1,1
GreeneCounty,1,1
HamiltonCounty,1,1
HerkimerCounty,1,1
JeffersonCounty,1,1
KingsCounty,1,1
LewisCounty,1,1
LivingstonCounty,1,1
MadisonCounty,1,1
MonroeCounty,1,1
MontgomeryCounty,1,1
NassauCounty,1,1
NewYorkCounty,1,1
NiagaraCounty,1,1
OneidaCounty,1,1
OnondagaCounty,1,1
OntarioCounty,1,1
OrangeCounty,1,1
OrleansCounty,1,1
OswegoCounty,1,1
OtsegoCounty,1,1
PutnamCounty,1,1
QueensCounty,1,1
RensselaerCounty,1,1
RichmondCounty,1,1
RocklandCounty,1,1
SaratogaCounty,1,1
SchenectadyCounty,1,1
SchoharieCounty,1,1
SchuylerCounty,1,1
SenecaCounty,1,1
StLawrenceCounty,1,1
SteubenCounty,1,1
SuffolkCounty,1,1
SullivanCounty,1,1
TiogaCounty,1,1
TompkinsCounty,1,1
UlsterCounty,1,1
WarrenCounty,1,1
WashingtonCounty,1,1
WayneCounty,1,1
WestchesterCounty,1,1
WyomingCounty,1,1
YatesCounty,1,1
