County,Metropolitan,Town,Rural
AlbanyCounty,0,0,0
AlleganyCounty,0,0,0
BronxCounty,0,0,0
BroomeCounty,0,0,0
CattaraugusCounty,0,0,0
CayugaCounty,0,0,0
ChautauquaCounty,0,0,0
ChemungCounty,0,0,0
ChenangoCounty,0,0,0
ClintonCounty,0,0,0
ColumbiaCounty,0,0,0
CortlandCounty,0,0,0
DelawareCounty,0,0,0
DutchessCounty,0,0,0
ErieCounty,0,0,0
EssexCounty,0,0,0
FranklinCounty,0,0,0
FultonCounty,0,0,0
GeneseeCounty,0,0,0
GreeneCounty,0,0,0
HamiltonCounty,0,0,0
HerkimerCounty,0,0,0
JeffersonCounty,0,0,0
KingsCounty,0,0,0
LewisCounty,0,0,0
LivingstonCounty,0,0,0
MadisonCounty,0,0,0
MonroeCounty,0,0,0
MontgomeryCounty,0,0,0
NassauCounty,0,0,0
NewYorkCounty,0,0,0
NiagaraCounty,0,0,0
OneidaCounty,0,0,0
OnondagaCounty,0,0,0
OntarioCounty,0,0,0
OrangeCounty,0,0,0
OrleansCounty,0,0,0
OswegoCounty,0,0,0
OtsegoCounty,0,0,0
PutnamCounty,0,0,0
QueensCounty,0,0,0
RensselaerCounty,0,0,0
RichmondCounty,0,0,0
RocklandCounty,0,0,0
SaratogaCounty,0,0,0
SchenectadyCounty,0,0,0
SchoharieCounty,0,0,0
SchuylerCounty,0,0,0
SenecaCounty,0,0,0
StLawrenceCounty,0,0,0
SteubenCounty,0,0,0
SuffolkCounty,0,0,0
SullivanCounty,0,0,0
TiogaCounty,0,0,0
TompkinsCounty,0,0,0
UlsterCounty,0,0,0
WarrenCounty,0,0,0
WashingtonCounty,0,0,0
WayneCounty,0,0,0
WestchesterCounty,0,0,0
WyomingCounty,0,0,0
YatesCounty,0,0,0
