"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AdamsCounty",16,54,160,121,458,243,872,53,59,193,37,101,11,98,646,1212,16,511,108,304
"AllenCounty",105,39,169,1882,7836,2304,5394,1400,584,942,383,1221,254,3220,3746,9614,413,4633,1786,1641
"AshlandCounty",214,36,43,667,3431,890,1943,647,158,285,117,997,23,630,2016,2982,85,1331,624,516
"AshtabulaCounty",91,74,211,1006,6889,704,2853,587,353,474,172,716,93,1210,2562,5895,204,2712,999,983
"AthensCounty",9,364,118,498,406,446,2160,84,358,354,194,517,299,394,5854,3530,102,2487,425,789
"AuglaizeCounty",57,25,115,900,7517,748,1928,387,271,287,131,397,94,931,1238,2748,209,1301,775,592
"BelmontCounty",20,2487,165,1145,955,643,3738,665,365,783,282,454,21,870,1853,3840,98,2545,715,876
"BrownCounty",2,43,455,290,772,227,832,206,85,156,75,162,3,257,1186,1694,20,752,229,533
"ButlerCounty",52,141,595,6466,20899,12331,17564,6515,1119,7214,1241,4636,1142,10389,13096,17834,1822,13857,4029,3222
"CarrollCounty",20,204,40,633,1445,194,741,321,57,57,123,166,0,248,441,854,77,570,214,216
"ChampaignCounty",91,12,13,296,3745,549,1049,146,83,181,63,306,77,329,1450,948,130,651,321,364
"ClarkCounty",407,48,135,1075,6666,1779,5299,3161,258,3180,518,994,1487,2537,4816,8445,415,4828,1761,1691
"ClermontCounty",57,27,347,3424,5522,2745,8792,2172,1393,2780,800,2486,705,3095,4776,6115,751,6151,1967,2169
"ClintonCounty",31,8,29,281,3596,680,1522,2705,322,412,104,258,222,570,1780,1873,45,1208,281,416
"ColumbianaCounty",133,202,189,1221,5930,1116,3892,1052,245,516,286,521,105,1416,2867,5543,220,2303,961,1504
"CoshoctonCounty",50,116,320,293,2524,173,1285,274,93,243,34,218,109,377,860,1917,95,724,306,303
"CrawfordCounty",244,31,105,406,3231,606,1333,193,103,572,72,652,241,234,1111,2773,50,1114,390,418
"CuyahogaCounty",236,405,3330,20793,70953,36455,66857,23344,15792,38700,13749,48698,22437,50017,52530,143255,14788,55020,21244,26854
"DarkeCounty",646,9,59,827,4289,815,1804,1062,149,593,107,419,3,451,1354,2765,147,873,576,447
"DefianceCounty",67,5,46,416,4275,448,1951,459,229,632,58,295,73,580,1254,2372,95,1345,584,409
"DelawareCounty",317,39,182,3139,6390,3050,11030,2846,911,5352,801,6656,12096,4351,6177,6800,2691,9474,2013,2200
"ErieCounty",380,61,131,918,6130,1017,4005,780,448,646,238,611,182,988,2310,5845,1603,5304,912,1204
"FairfieldCounty",53,76,368,2028,4311,1073,6132,840,308,710,439,1110,209,3717,4011,7385,398,5282,1386,1469
"FayetteCounty",86,0,50,291,1582,820,2440,1199,54,386,70,150,0,266,671,1461,121,992,176,263
"FranklinCounty",411,396,3684,22045,36348,32055,73187,38750,18712,49487,10791,49308,25432,60779,65494,104133,10500,60665,22169,31892
