"County","AdairCounty","AlfalfaCounty","AtokaCounty","BeaverCounty","BeckhamCounty","BlaineCounty","BryanCounty","CaddoCounty","CanadianCounty","CarterCounty","CherokeeCounty","ChoctawCounty","CimarronCounty","ClevelandCounty","CoalCounty","ComancheCounty","CottonCounty","CraigCounty","CreekCounty","CusterCounty","DelawareCounty","DeweyCounty","EllisCounty","GarfieldCounty","GarvinCounty","GradyCounty","GrantCounty","GreerCounty","HarmonCounty","HarperCounty","HaskellCounty","HughesCounty","JacksonCounty","JeffersonCounty","JohnstonCounty","KayCounty","KingfisherCounty","KiowaCounty","LatimerCounty","LeFloreCounty","LincolnCounty","LoganCounty","LoveCounty","McClainCounty","McCurtainCounty","McIntoshCounty","MajorCounty","MarshallCounty","MayesCounty","MurrayCounty","MuskogeeCounty","NobleCounty","NowataCounty","OkfuskeeCounty","OklahomaCounty","OkmulgeeCounty","OsageCounty","OttawaCounty","PawneeCounty","PayneCounty","PittsburgCounty","PontotocCounty","PottawatomieCounty","PushmatahaCounty","RogerMillsCounty","RogersCounty","SeminoleCounty","SequoyahCounty","StephensCounty","TexasCounty","TillmanCounty","TulsaCounty","WagonerCounty","WashingtonCounty","WashitaCounty","WoodsCounty","WoodwardCounty"
"AdairCounty",12.4,268.9,166.1,385.4,324.3,274.3,199.6,258.8,223.5,242.3,30.9,192.7,487.1,198.7,170.3,273.9,304.6,100.9,127.7,291.1,58.8,321,335.3,217.3,222.7,229,243.2,347.5,361.1,352.8,73.5,144.6,331.6,284.4,203.1,212.1,249.3,312.8,124.7,78.8,167.9,196.1,244.7,233.2,162.5,88.7,258.9,216,69.2,215,61.5,185.1,127.7,124.5,197.9,98.9,154.8,92.6,145.4,164.5,119.2,182.6,168.1,165.1,332.1,90.7,156.7,34,270.4,437.6,316.2,102.6,67.4,140.3,301.1,299.5,304.2
"AlfalfaCounty",268.9,15.3,266.8,147,150.2,61.5,290.1,129.6,113.8,230,239.1,321,249.9,153.3,244.7,170,200.7,200.5,160.9,100.9,258.5,82.4,106.8,52.4,191.1,144.4,41.8,173.4,206.3,87.8,259.1,218.7,185.7,214.4,251.8,77.6,82.9,154.4,289.6,300,155.6,121.2,249,174.1,358.5,244.1,33.1,261.1,214.7,214.5,219,88.5,172.1,208.9,132.6,201.4,129.9,220.4,128.7,123.7,256.6,218.5,177.9,318.8,136.8,192.7,200.7,262.4,183.6,200.4,195.5,169.3,197.1,148.3,127,34.5,75.8
"AtokaCounty",166.1,266.8,16.2,353.2,259.8,209.8,37.8,167.1,158.9,80.8,139.1,49.2,454.9,115.2,24.2,169.6,156.6,182,137.8,226.5,195.4,256.4,303.1,225.9,89.4,137.3,251.9,241.7,256.8,314.1,99.3,61.6,227.3,121.1,40.6,212.9,184.7,210.1,81.9,114.3,125.4,162.4,82.8,114.6,86.8,81.8,239.2,54.1,154.9,82.2,109.5,185.9,188.5,100.9,136.8,93.5,185.1,199.1,170.9,163.8,49,48.3,94.1,54.2,267.5,162.3,81,133.3,135.8,405.4,193.3,136.4,132.4,174.8,213.2,286.9,273
"BeaverCounty",385.4,147,353.2,21.9,147.4,154.6,376.5,214.6,198.9,316.5,355.6,420.8,122.1,239.7,331.2,247.8,278.5,351.4,277.4,153,375,126.8,77.7,168.9,277.5,229.4,172.2,175.5,183.8,62.5,376.2,305.1,208.1,299.5,338.2,208,186.2,203.5,389.4,421.8,266.3,209.6,335.4,260.5,458.4,346.3,137.1,347.5,331.3,300.9,335.5,205,313.7,295.3,226.2,325.5,271.5,368.5,245.3,233.2,356.5,304.9,264.3,418.6,120,309.2,287.1,385,268.6,72.6,244.6,285.9,313.6,289.9,176.1,121.1,83.9
"BeckhamCounty",324.3,150.2,259.8,147.4,15.5,101,283.1,86.8,105.4,223,297.4,327.3,253.1,146.3,237.7,114.4,149.2,300.1,217.7,51.2,323.8,81.2,84.8,161.3,184,136,188.6,32.3,57.6,127.4,282.8,211.7,64.9,182.7,244.7,235.9,126.2,67,296,328.4,172.9,160.1,241.9,167.1,364.9,252.9,121.2,254.1,280,207.5,267.8,197.6,288.1,201.9,132.8,232.1,252.5,317.3,224.6,198.8,263,211.5,170.9,325.1,28.3,258,193.6,291.5,151.1,186,105.8,234.6,259.5,273.1,36.7,146.8,90.5
"BlaineCounty",274.3,61.5,209.8,154.6,101,15.8,233.1,71.1,55.4,173,247.4,277.3,256.3,96.3,187.7,111.5,142.3,250.1,134.9,51.7,273.7,57,104.5,69.9,134,85.9,99.8,124.2,157.1,115.5,232.8,161.7,136.4,156,194.7,139.4,42.7,105.1,245.9,278.4,122.9,66.2,191.9,117,314.9,202.9,32.5,204,230,157.5,217.8,101.3,238.1,151.9,82.8,182.1,163.2,267.3,135.3,104.4,213,161.4,120.9,275.1,87.6,207.9,143.6,241.5,125.2,206.8,146.3,184.6,209.5,206.3,77.7,80.2,74.4
"BryanCounty",199.6,290.1,37.8,376.5,283.1,233.1,15.8,182.7,182.3,67.6,172.7,52.5,478.3,146.5,54.5,162.1,139.6,215.5,171.4,249.8,228.9,279.7,326.4,243,105,152.9,278.8,244.7,249.4,337.5,132.9,91.9,219.9,104.1,39.7,230.3,208,217,115.4,147.9,142.9,189.3,58.3,130.2,115.5,115.3,262.5,29.7,188.5,73.2,143.1,203.3,222.1,134.5,160.9,127.1,218.6,232.7,179,181.2,82.5,65.8,111.6,80.2,290.9,195.9,106.7,166.8,126.1,428.8,176.3,169.9,166,208.4,236.5,310.2,296.4
"CaddoCounty",258.8,129.6,167.1,214.6,86.8,71.1,182.7,18.5,53.7,122.7,231.8,213.1,335,68.2,145.1,40.2,71,244.2,161.8,73.4,267.8,103.3,164.4,117.3,78.2,29.8,148.3,76.2,116.7,175.5,217.2,146.1,96.2,99.9,144.4,180,82.3,58.9,230.4,262.8,116.9,104.2,141.6,57.1,250.6,187.3,100.6,153.7,224.1,107.1,202.2,141.7,232.2,136.3,76.8,166.6,196.6,261.3,168.7,142.9,197.5,118.8,93,218.1,114.4,202,128.1,226,69,266.8,82.5,178.7,203.5,217.1,52.2,148.3,134.4
"CanadianCounty",223.5,113.8,158.9,198.9,105.4,55.4,182.3,53.7,15.5,122.2,196.5,226.5,300.6,45.5,136.9,81.2,111.9,195.7,113.3,72.2,219.3,102.1,148.7,70.6,83.2,38.5,101.6,128.6,161.5,159.8,181.9,110.9,138.9,108.5,143.9,131.5,35.5,109.6,195.1,227.5,68.4,55.7,141.1,66.2,264.1,152,84.8,153.2,175.6,106.6,166.9,93.2,183.7,101.1,26,131.3,148.1,212.8,120.2,94.4,162.2,110.6,70,224.3,113.2,153.5,92.8,190.7,77.7,251.1,123.4,130.2,155,168.6,82.2,132.6,118.7
"CarterCounty",242.3,230,80.8,316.5,223,173,67.6,122.7,122.2,14.9,215.3,116.2,418.2,86.4,87.4,101.6,79,247,164.6,189.7,271.6,219.7,266.3,183,44.9,92.9,218.7,184.1,188.8,277.4,177,104.7,159.3,43.6,41.2,205.1,147.9,156.4,159.6,192,118.3,129.3,26.4,70.1,164.3,159.4,202.4,38.5,226.9,30.8,185.7,166.8,235,125,100.8,150,198.8,264.2,170.9,167.9,126.6,61.2,87,131.7,230.8,204.9,98.7,209.4,64.7,368.7,115.8,181.5,206.4,220,176.5,250.1,236.3
