"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AdairCounty",114,3,71,96,1429,85,483,29,16,105,26,75,5,118,903,532,0,281,92,451
"AlfalfaCounty",12,241,77,132,42,137,150,17,15,81,2,34,0,20,199,131,0,76,19,262
"AtokaCounty",11,82,28,112,464,85,416,209,16,130,59,45,0,56,411,399,65,381,67,477
"BeaverCounty",76,351,61,404,37,47,85,99,2,58,14,48,0,22,229,140,3,34,65,138
"BeckhamCounty",32,2448,93,923,472,652,1465,623,79,349,364,289,0,510,600,1156,33,868,223,320
"BlaineCounty",15,118,19,254,232,136,239,107,40,155,110,69,0,46,532,355,184,124,81,243
"BryanCounty",90,220,98,544,1260,636,1388,479,153,321,88,377,543,471,1980,1893,1162,1703,188,1804
"CaddoCounty",176,262,520,376,101,194,731,49,84,212,38,244,10,133,960,745,567,238,92,1261
"CanadianCounty",155,1540,227,2360,4435,1634,3947,951,276,752,446,1081,261,1964,4258,2520,769,2801,854,1574
"CarterCounty",81,1455,140,1171,3054,820,2699,1735,223,632,335,800,35,1033,1776,3638,129,1951,540,730
"CherokeeCounty",732,54,265,345,357,548,1472,32,81,322,200,173,110,210,2233,2547,380,1002,280,1675
"ChoctawCounty",10,83,180,143,113,87,386,192,25,110,120,119,0,151,483,912,477,240,304,206
"CimarronCounty",176,7,9,49,17,25,118,12,6,44,0,13,1,1,109,44,0,63,18,52
"ClevelandCounty",106,800,349,4644,4216,2432,10794,924,1408,2223,1462,4612,294,6134,15825,11973,1944,10561,2108,4916
"CoalCounty",32,92,5,21,54,14,131,56,1,73,8,19,5,30,256,186,1,79,2,164
"ComancheCounty",54,134,272,1756,3453,658,4975,947,562,1531,622,1470,163,2232,4755,3692,905,4658,639,2635
"CottonCounty",0,10,83,25,4,25,94,36,7,39,0,23,1,12,188,48,548,81,16,144
"CraigCounty",59,34,166,156,333,183,601,156,74,214,20,90,120,244,427,1404,12,341,82,505
"CreekCounty",12,820,120,1949,4079,894,2157,1010,156,542,171,403,13,488,2371,2498,211,1145,368,840
"CusterCounty",40,889,151,545,1010,1069,1494,619,142,344,244,450,7,359,1535,1396,449,1084,407,496
"DelawareCounty",56,10,40,474,861,262,1289,66,60,251,54,142,24,356,1145,1389,427,855,268,516
"DeweyCounty",7,212,43,82,69,21,197,68,14,63,2,63,1,22,223,156,0,42,42,67
"EllisCounty",49,23,2,51,8,94,137,287,2,45,23,34,1,4,188,148,8,97,7,63
"GarfieldCounty",124,2395,232,1529,2405,1493,2990,879,256,764,321,1432,395,1511,2344,2952,399,2184,579,976
"GarvinCounty",56,1123,156,990,1149,245,1176,679,41,295,28,292,13,262,779,1225,55,595,151,606
"GradyCounty",242,682,82,1105,1546,565,1540,366,97,401,258,421,3,278,1252,1600,87,1152,441,571
"GrantCounty",30,249,6,272,17,98,109,84,4,52,5,17,1,30,148,107,0,35,24,102
"GreerCounty",0,50,12,33,58,3,121,17,6,71,0,16,0,34,144,199,16,88,22,211
"HarmonCounty",34,1,2,54,12,47,45,0,4,88,1,7,0,12,79,141,8,3,3,51
"HarperCounty",289,83,42,37,10,23,99,50,2,76,2,36,0,21,154,87,0,17,46,60
"HaskellCounty",47,233,66,125,79,127,385,55,45,65,1,57,0,88,414,1620,15,158,22,245
"HughesCounty",139,296,15,142,209,12,403,41,40,70,1,49,8,356,448,641,7,251,31,226
"JacksonCounty",149,17,74,241,1059,213,1118,232,97,285,102,137,39,238,1324,1486,52,1043,89,337
"JeffersonCounty",26,20,8,110,120,73,136,35,9,66,10,16,0,33,190,147,0,37,5,129
"JohnstonCounty",14,207,13,54,57,72,286,34,12,47,66,39,20,51,550,371,5,89,57,154
"KayCounty",49,473,156,1425,1979,409,1863,436,334,432,131,555,831,1075,1753,2360,945,1468,337,1014
"KingfisherCounty",545,1210,67,318,433,207,614,263,516,189,16,183,1,84,450,597,23,309,171,223
"KiowaCounty",52,95,26,75,271,140,236,35,22,100,14,32,0,6,259,505,14,29,24,160
"LatimerCounty",11,278,68,406,282,43,251,296,14,64,17,72,0,68,514,519,20,121,13,156
"LeFloreCounty",168,1294,183,799,1623,173,1542,248,57,393,50,356,41,730,1818,1519,592,700,223,1597
"LincolnCounty",13,512,13,606,785,317,723,435,52,518,40,146,20,123,863,697,241,411,70,561
"LoganCounty",86,325,63,743,465,197,951,165,39,225,141,236,54,528,1135,1237,148,890,171,325
"LoveCounty",33,26,57,94,122,12,353,311,13,63,7,50,1,39,262,128,2079,872,37,87
"McClainCounty",107,350,34,1239,317,194,1474,150,50,275,48,342,3,164,1393,1177,22,1185,290,339
"McCurtainCounty",277,16,107,765,2686,136,1082,336,189,249,58,116,6,426,1211,1409,223,666,378,385
"McIntoshCounty",5,34,65,156,61,44,840,62,16,135,13,112,2,112,523,769,150,362,83,333
"MajorCounty",262,602,26,232,157,143,266,112,6,83,116,62,1,52,175,250,1,91,34,174
"MarshallCounty",34,35,35,78,1491,346,469,40,13,64,40,109,112,41,435,535,82,335,45,253
"MayesCounty",333,346,482,1065,2777,411,1526,164,164,301,30,331,24,718,1591,879,72,961,191,665
"MurrayCounty",66,293,10,412,386,399,955,14,123,72,13,78,1,95,388,808,83,1061,80,458
"MuskogeeCounty",108,66,379,1392,3794,941,2964,816,344,578,362,574,23,1423,2558,5512,1825,2243,627,3439
"NobleCounty",12,81,142,194,1429,210,263,51,28,208,8,62,0,81,384,415,301,296,85,414
"NowataCounty",21,49,11,154,266,94,155,17,12,80,15,19,0,32,277,278,5,99,37,167
"OkfuskeeCounty",28,72,15,106,121,40,210,36,9,53,5,23,10,22,333,663,90,116,34,348
"OklahomaCounty",142,15659,4326,19749,24746,24320,48229,9500,7501,18993,7118,26015,10059,35030,37400,60948,6607,40940,11124,30937
"OkmulgeeCounty",20,81,93,244,1313,82,1123,146,74,340,46,244,211,165,1109,1828,121,768,253,1596
"OsageCounty",50,1212,30,914,386,224,792,98,31,187,50,311,5,238,791,768,1553,563,100,1293
"OttawaCounty",365,29,66,226,1170,228,904,75,45,265,130,259,27,414,1106,1534,1469,1844,212,1174
"PawneeCounty",7,212,117,142,126,76,368,8,13,78,18,306,38,26,413,451,52,163,38,589
"PayneCounty",46,1394,251,1684,1530,762,3667,910,304,873,417,1121,191,1544,8613,3539,459,3947,953,1389
"PittsburgCounty",28,1099,143,632,1032,279,1785,422,119,388,170,372,27,607,1257,2079,254,1355,318,1435
"PontotocCounty",48,378,214,661,1391,561,1934,271,101,560,289,1737,32,647,1784,3535,470,1161,251,2263
"PottawatomieCounty",23,452,172,653,2755,403,2475,129,345,649,184,727,11,1596,2698,2684,326,2299,499,3285
"PushmatahaCounty",42,112,37,95,100,63,299,29,40,117,14,77,0,33,436,798,0,137,75,130
"RogerMillsCounty",7,65,18,72,1,11,141,87,19,33,4,12,0,3,199,82,9,36,6,54
"RogersCounty",79,187,358,3586,6586,1155,2401,1724,744,426,229,975,298,2147,2639,2737,2427,1589,502,1705
"SeminoleCounty",12,662,174,360,1138,155,795,144,49,219,46,122,1,118,953,963,247,548,103,674
"SequoyahCounty",70,78,90,246,136,83,1321,188,65,268,52,191,59,337,1395,2437,512,809,119,633
"StephensCounty",27,2381,93,660,2812,376,1745,496,122,604,195,345,29,785,1239,1975,175,951,352,555
"TexasCounty",3592,285,244,510,163,287,1260,81,224,246,37,350,262,229,926,499,75,777,121,325
"TillmanCounty",164,21,43,54,23,74,142,24,18,122,5,30,64,4,282,85,0,66,33,153
"TulsaCounty",347,6187,4789,15364,37429,15277,41221,14226,7973,15374,5760,19981,5856,32917,26315,50340,3759,31958,9456,9410
"WagonerCounty",63,87,93,1111,2130,273,1377,106,53,253,102,275,4,335,1081,963,85,828,242,565
"WashingtonCounty",17,4198,214,880,616,481,2191,659,188,675,215,784,33,1413,1988,2734,358,1766,676,520
"WashitaCounty",47,310,40,132,132,88,238,48,15,105,51,68,3,28,476,181,0,73,34,190
"WoodsCounty",42,509,16,192,164,141,416,104,85,166,34,56,7,81,562,285,27,312,84,272
"WoodwardCounty",49,2415,118,948,481,417,1007,465,90,230,201,184,23,270,700,1101,29,836,370,357
