"County","Metropolitan","Town","Rural"
"BakerCounty",0,0.5899,0.4101
"BentonCounty",0.8124,0,0.1876
"ClackamasCounty",0.704,0.1152,0.1808
"ClatsopCounty",0,0.6103,0.3897
"ColumbiaCounty",0.0477,0.5162,0.4361
"CoosCounty",0,0.6165,0.3835
"CrookCounty",0,0.5198,0.4802
"CurryCounty",0,0.6127,0.3873
"DeschutesCounty",0.5312,0.1923,0.2764
"DouglasCounty",0,0.5882,0.4118
"GilliamCounty",0,0,1
"GrantCounty",0,0,1
"HarneyCounty",0,0.5566,0.4434
"HoodRiverCounty",0,0.4783,0.5217
"JacksonCounty",0.7828,0.0166,0.2005
"JeffersonCounty",0,0.3688,0.6312
"JosephineCounty",0.5504,0,0.4496
"KlamathCounty",0,0.6242,0.3758
"LakeCounty",0,0.3667,0.6333
"LaneCounty",0.7035,0.1213,0.1752
"LincolnCounty",0,0.6241,0.3759
"LinnCounty",0.4012,0.2824,0.3164
"MalheurCounty",0,0.5158,0.4842
"MarionCounty",0.6784,0.1906,0.1309
"MorrowCounty",0,0.5413,0.4587
"MultnomahCounty",0.9863,2e-04,0.0134
"PolkCounty",0.3452,0.4556,0.1993
"ShermanCounty",0,0,1
"TillamookCounty",0,0.304,0.696
"UmatillaCounty",0.1163,0.5931,0.2907
"UnionCounty",0,0.579,0.421
"WallowaCounty",0,0,1
"WascoCounty",0,0.6693,0.3307
"WashingtonCounty",0.9441,0,0.0559
"WheelerCounty",0,0,1
"YamhillCounty",0,0.774,0.226
