Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
PropSuitable,Bend,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TargetProp,Bend,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Threshold,Bend,2,2,2,2,2,2,2,2,2,2,2,2,2
PropSuitable,Corvallis,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TargetProp,Corvallis,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Threshold,Corvallis,2,2,2,2,2,2,2,2,2,2,2,2,2
PropSuitable,Eugene,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TargetProp,Eugene,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Threshold,Eugene,2,2,2,2,2,2,2,2,2,2,2,2,2
PropSuitable,Longview,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TargetProp,Longview,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Threshold,Longview,2,2,2,2,2,2,2,2,2,2,2,2,2
PropSuitable,Medford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TargetProp,Medford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Threshold,Medford,2,2,2,2,2,2,2,2,2,2,2,2,2
PropSuitable,NonMetro,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TargetProp,NonMetro,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Threshold,NonMetro,2,2,2,2,2,2,2,2,2,2,2,2,2
PropSuitable,Portland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TargetProp,Portland,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Threshold,Portland,2,2,2,2,2,2,2,2,2,2,2,2,2
