Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
PkgCost,Bend,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Bend,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Bend,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Bend,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Bend,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Corvallis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Corvallis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Corvallis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Corvallis,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Corvallis,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Eugene,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Eugene,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Eugene,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Eugene,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Eugene,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Longview,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Longview,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Longview,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Longview,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Longview,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Medford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Medford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Medford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Medford,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Medford,0,0,0,0,0,0,0,0,0,0,0,0,0
PkgCost,Portland,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Portland,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Portland,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Portland,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Portland,0,0,0,0,0,0,0,0,0,0,0,0,0
