County,Region,Msa
SullivanCounty,,NA
SusquehannaCounty,,Philadelphia
TiogaCounty,,NA
UnionCounty,,NA
VenangoCounty,,NA
WarrenCounty,,NA
WashingtonCounty,,Pittsburgh
WayneCounty,,Philadelphia
WestmorelandCounty,,Pittsburgh
AlleghenyCounty,,Pittsburgh
YorkCounty,,Philadelphia
BeaverCounty,,Pittsburgh
BedfordCounty,,Cumberland
BerksCounty,,Philadelphia
ArmstrongCounty,,Pittsburgh
BlairCounty,,Altoona
BradfordCounty,,NA
BucksCounty,,Philadelphia
ButlerCounty,,Pittsburgh
CambriaCounty,,Johnstown
CameronCounty,,NA
CarbonCounty,,Philadelphia
CentreCounty,,StateCollege
ChesterCounty,,Philadelphia
ClarionCounty,,NA
ClearfieldCounty,,NA
ClintonCounty,,NA
ColumbiaCounty,,Philadelphia
CrawfordCounty,,NA
CumberlandCounty,,Philadelphia
DauphinCounty,,Philadelphia
DelawareCounty,,Philadelphia
ElkCounty,,NA
ErieCounty,,Erie
FayetteCounty,,Pittsburgh
ForestCounty,,NA
FranklinCounty,,Hagerstown
FultonCounty,,NA
GreeneCounty,,NA
HuntingdonCounty,,NA
IndianaCounty,,NA
JeffersonCounty,,NA
JuniataCounty,,NA
LackawannaCounty,,Philadelphia
LancasterCounty,,Philadelphia
LawrenceCounty,,Youngstown
LebanonCounty,,Philadelphia
LehighCounty,,Philadelphia
LuzerneCounty,,Philadelphia
LycomingCounty,,Williamsport
McKeanCounty,,NA
WyomingCounty,,Philadelphia
MercerCounty,,Youngstown
AdamsCounty,,Philadelphia
MonroeCounty,,Philadelphia
MontgomeryCounty,,Philadelphia
MontourCounty,,Philadelphia
NorthamptonCounty,,Philadelphia
NorthumberlandCounty,,Philadelphia
PerryCounty,,Philadelphia
MifflinCounty,,NA
PhiladelphiaCounty,,Philadelphia
PikeCounty,,NA
PotterCounty,,NA
SchuylkillCounty,,Philadelphia
SnyderCounty,,NA
SomersetCounty,,Johnstown
