County,Region,Msa
LancasterCounty,,Charlotte
LaurensCounty,,Greenville
LeeCounty,,NA
LexingtonCounty,,Columbia
McCormickCounty,,NA
MarionCounty,,NA
MarlboroCounty,,NA
NewberryCounty,,Columbia
OconeeCounty,,NA
OrangeburgCounty,,NA
PickensCounty,,Greenville
RichlandCounty,,Columbia
SaludaCounty,,NA
SpartanburgCounty,,Greenville
SumterCounty,,Sumter
UnionCounty,,NA
WilliamsburgCounty,,NA
YorkCounty,,Charlotte
AbbevilleCounty,,NA
AikenCounty,,AugustaRichmondCounty
AllendaleCounty,,NA
AndersonCounty,,Greenville
BambergCounty,,NA
BarnwellCounty,,NA
BeaufortCounty,,NA
BerkeleyCounty,,CharlestonNorthCharleston
CalhounCounty,,NA
CharlestonCounty,,CharlestonNorthCharleston
CherokeeCounty,,Greenville
ChesterCounty,,NA
ChesterfieldCounty,,NA
ClarendonCounty,,NA
ColletonCounty,,NA
DarlingtonCounty,,Florence
DillonCounty,,NA
DorchesterCounty,,CharlestonNorthCharleston
EdgefieldCounty,,AugustaRichmondCounty
FairfieldCounty,,Columbia
FlorenceCounty,,Florence
GeorgetownCounty,,MyrtleBeachSocastee
GreenvilleCounty,,Greenville
GreenwoodCounty,,NA
HamptonCounty,,NA
HorryCounty,,MyrtleBeachSocastee
JasperCounty,,NA
KershawCounty,,Columbia
