"County","Metropolitan","Town","Rural"
"AbbevilleCounty",0,0.2142,0.7858
"AikenCounty",0.63,0,0.37
"AllendaleCounty",0,0.3174,0.6826
"AndersonCounty",0.5733,0.0475,0.3793
"BambergCounty",0,0.4549,0.5451
"BarnwellCounty",0,0.1746,0.8254
"BeaufortCounty",0.4253,0.3782,0.1965
"BerkeleyCounty",0.7105,0,0.2895
"CalhounCounty",0,0,1
"CharlestonCounty",0.8912,0,0.1088
"CherokeeCounty",0,0.3895,0.6105
"ChesterCounty",0,0.2822,0.7178
"ChesterfieldCounty",0,0.2623,0.7377
"ClarendonCounty",0,0.1429,0.8571
"ColletonCounty",0,0.2443,0.7557
"DarlingtonCounty",0.2021,0.2202,0.5776
"DillonCounty",0,0.3049,0.6951
"DorchesterCounty",0.8052,0,0.1948
"EdgefieldCounty",0.0978,0.1691,0.7331
"FairfieldCounty",0.0023,0.2146,0.7831
"FlorenceCounty",0.5528,0.062,0.3852
"GeorgetownCounty",0.1253,0.4595,0.4152
"GreenvilleCounty",0.8736,3e-04,0.1261
"GreenwoodCounty",0,0.6025,0.3975
"HamptonCounty",0,0.2153,0.7847
"HorryCounty",0.6962,0,0.3038
"JasperCounty",0,0.3333,0.6667
"KershawCounty",0.2036,0.2196,0.5768
"LancasterCounty",0.1876,0.3128,0.4995
"LaurensCounty",0.0347,0.3233,0.6419
"LeeCounty",0,0.2805,0.7195
"LexingtonCounty",0.7147,0.0326,0.2528
"McCormickCounty",0,0,1
"MarionCounty",0,0.3925,0.6075
"MarlboroCounty",0,0.4495,0.5505
"NewberryCounty",3e-04,0.3212,0.6785
"OconeeCounty",0,0.3508,0.6492
"OrangeburgCounty",0,0.3622,0.6378
"PickensCounty",0.6421,0,0.3579
"RichlandCounty",0.9093,0,0.0907
"SaludaCounty",0,0.1947,0.8053
"SpartanburgCounty",0.6937,0.032,0.2743
"SumterCounty",0.6803,0,0.3197
"UnionCounty",0,0.3464,0.6536
"WilliamsburgCounty",0,0.1806,0.8194
"YorkCounty",0.7066,0.0639,0.2295
