County,Metropolitan,Town
AbbevilleCounty,1,1
AikenCounty,1,1
AllendaleCounty,1,1
AndersonCounty,1,1
BambergCounty,1,1
BarnwellCounty,1,1
BeaufortCounty,1,1
BerkeleyCounty,1,1
CalhounCounty,1,1
CharlestonCounty,1,1
CherokeeCounty,1,1
ChesterCounty,1,1
ChesterfieldCounty,1,1
ClarendonCounty,1,1
ColletonCounty,1,1
DarlingtonCounty,1,1
DillonCounty,1,1
DorchesterCounty,1,1
EdgefieldCounty,1,1
FairfieldCounty,1,1
FlorenceCounty,1,1
GeorgetownCounty,1,1
GreenvilleCounty,1,1
GreenwoodCounty,1,1
HamptonCounty,1,1
HorryCounty,1,1
JasperCounty,1,1
KershawCounty,1,1
LancasterCounty,1,1
LaurensCounty,1,1
LeeCounty,1,1
LexingtonCounty,1,1
MarionCounty,1,1
MarlboroCounty,1,1
McCormickCounty,1,1
NewberryCounty,1,1
OconeeCounty,1,1
OrangeburgCounty,1,1
PickensCounty,1,1
RichlandCounty,1,1
SaludaCounty,1,1
SpartanburgCounty,1,1
SumterCounty,1,1
UnionCounty,1,1
WilliamsburgCounty,1,1
YorkCounty,1,1
