,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
0-0-0-0-0-1,0,0,0,0,0,0.371813846406841
0-0-0-0-0-2,0,0,0,0,0,0.46538398289755
0-0-0-0-1-0,0,0,0,0,0.156497864551556,0
0-0-0-0-1-1,0,0,0,0,0.117754728492984,0.063476401907581
0-0-0-0-1-2,0,0,0,0,0.0036607687614399,0.00394671928959053
0-0-0-0-2-0,0,0,0,0,0.420378279438682,0
0-0-0-0-2-1,0,0,0,0,0.00305064063453325,0.00082223318533136
0-0-0-1-0-0,0,0,0,0.109257972357347,0,0
0-0-0-1-0-1,0,0,0,0.0108871901783646,0,0.0231869758263444
0-0-0-1-0-2,0,0,0,0.00540498803181222,0,0.0230225291892781
0-0-0-1-1-0,0,0,0,0.027874295421203,0.11012812690665,0
0-0-0-1-1-1,0,0,0,0.00262527990116593,0.0103721781574131,0.00559118566025325
0-0-0-1-1-2,0,0,0,0.000154428229480349,0.00061012812690665,0.000657786548265088
0-0-0-1-2-0,0,0,0,0.00200756698324454,0.0161683953630262,0
0-0-0-1-2-1,0,0,0,0.000154428229480349,0.0012202562538133,0.000328893274132544
0-0-0-2-0-0,0,0,0,0.178132962705583,0,0
0-0-0-2-0-1,0,0,0,0.00478727511389082,0,0.00460450583785562
0-0-0-2-0-2,0,0,0,0.00115821172110262,0,0.00230225291892781
0-0-0-2-1-0,0,0,0,0.00200756698324454,0.0036607687614399,0
0-0-0-2-1-1,0,0,0,0.000463284688441047,0.000915192190359976,0.000493339911198816
0-0-1-0-0-0,0,0,0.186147186147186,0,0,0
0-0-1-0-0-1,0,0,0.00168350168350168,0,0,0.0011511264594639
0-0-1-0-0-2,0,0,0.00240500240500241,0,0,0.00328893274132544
0-0-1-0-1-0,0,0,0.00601250601250601,0,0.00762660158633313,0
0-0-1-0-1-1,0,0,0.00336700336700337,0,0.00427089688834655,0.00230225291892781
0-0-1-0-2-0,0,0,0.00625300625300625,0,0.0158633312995729,0
0-0-1-1-0-0,0,0,0.0428090428090428,0.0137441124237511,0,0
0-0-1-1-0-1,0,0,0.00264550264550265,0.00084935526214192,0,0.00180891300772899
0-0-1-1-0-2,0,0,0.000240500240500241,7.72141147401745e-05,0,0.000328893274132544
0-0-1-1-1-0,0,0,0.0113035113035113,0.0036290633927882,0.0143380109823063,0
0-0-1-1-1-1,0,0,0.000721500721500722,0.000231642344220524,0.000915192190359976,0.000493339911198816
0-0-1-1-2-0,0,0,0.000962000962000962,0.000308856458960698,0.0024405125076266,0
0-0-1-2-0-0,0,0,0.0271765271765272,0.0179908887344607,0,0
0-0-1-2-0-1,0,0,0.00168350168350168,0.00123542583584279,0,0.0011511264594639
0-0-1-2-0-2,0,0,0.000721500721500722,0.000463284688441047,0,0.000986679822397632
0-0-1-2-2-0,0,0,0.000721500721500722,0.000463284688441047,0.00183038438071995,0
0-0-2-0-0-0,0,0,0.196007696007696,0,0,0
0-0-2-0-0-1,0,0,0.000481000481000481,0,0,0.000164446637066272
0-0-2-0-1-0,0,0,0.00240500240500241,0,0.00152532031726663,0
0-0-2-0-2-0,0,0,0.00168350168350168,0,0.00183038438071995,0
0-0-2-1-0-0,0,0,0.00913900913900914,0.00138985406532314,0,0
0-0-2-1-1-0,0,0,0.00264550264550265,0.000386070573700873,0.00152532031726663,0
0-0-2-1-1-1,0,0,0.000481000481000481,7.72141147401745e-05,0.000305064063453325,0.000164446637066272
0-0-2-1-2-0,0,0,0.000721500721500722,7.72141147401745e-05,0.00061012812690665,0
0-0-2-2-0-0,0,0,0.0088985088985089,0.00285692224538646,0,0
0-0-2-2-1-0,0,0,0.000481000481000481,0.000154428229480349,0.000305064063453325,0
0-1-0-0-0-0,0,0.109951060358891,0,0,0,0
0-1-0-0-0-1,0,0.00163132137030995,0,0,0,0.00082223318533136
0-1-0-0-0-2,0,0.0032626427406199,0,0,0,0.00328893274132544
0-1-0-0-1-0,0,0.00424143556280587,0,0,0.00396583282489323,0
0-1-0-0-1-1,0,0.00195758564437194,0,0,0.00183038438071995,0.000986679822397632
0-1-0-0-2-0,0,0.00554649265905383,0,0,0.0103721781574131,0
0-1-0-1-0-0,0,0.032952691680261,0,0.00779862558875763,0,0
0-1-0-1-0-1,0,0.00195758564437194,0,0.000463284688441047,0,0.000986679822397632
0-1-0-1-0-2,0,0.00032626427406199,0,7.72141147401745e-05,0,0.000328893274132544
0-1-0-1-1-0,0,0.0166394779771615,0,0.0039379198517489,0.0155582672361196,0
0-1-0-1-1-1,0,0.00032626427406199,0,7.72141147401745e-05,0.000305064063453325,0.000164446637066272
0-1-0-1-2-0,0,0.00065252854812398,0,0.000154428229480349,0.0012202562538133,0
