"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AuroraCounty",127,0,16,33,23,24,54,29,0,40,0,65,0,1,132,204,3,44,25,65
"BeadleCounty",138,8,27,343,1625,568,1002,143,94,398,104,166,213,118,668,1344,119,502,201,493
"BennettCounty",14,0,28,73,14,47,118,2,28,17,1,4,0,10,185,173,8,63,14,56
"BonHommeCounty",65,0,32,51,131,109,192,43,9,62,18,31,0,9,264,312,4,89,31,270
"BrookingsCounty",317,65,292,633,4477,445,1663,282,165,348,156,580,126,202,3359,1546,227,1633,413,446
"BrownCounty",227,20,110,990,2743,1225,2893,361,280,1040,151,477,333,925,1529,3303,242,1944,596,1149
"BruleCounty",73,8,16,86,31,170,273,18,32,51,12,44,0,19,252,308,14,227,75,84
"BuffaloCounty",16,0,0,0,0,0,29,0,3,7,42,2,0,2,43,89,98,0,0,183
"ButteCounty",28,97,23,168,163,189,398,125,8,84,23,120,1,84,328,365,10,265,126,230
"CampbellCounty",65,0,0,7,37,92,37,27,22,19,2,5,1,0,35,15,0,11,1,30
"CharlesMixCounty",161,0,16,139,95,189,394,47,25,137,36,72,0,6,557,547,300,183,84,306
"ClarkCounty",83,0,6,63,138,76,101,38,5,35,1,25,0,4,140,96,1,57,20,111
"ClayCounty",27,0,31,124,226,80,535,242,91,113,41,140,1,76,1970,672,16,874,55,336
"CodingtonCounty",161,12,28,705,3372,761,2546,326,161,720,111,292,118,405,998,1902,322,1525,555,667
"CorsonCounty",15,0,1,11,0,102,31,7,20,8,7,0,0,0,288,75,0,2,2,110
"CusterCounty",19,27,40,134,27,12,198,20,16,37,30,35,9,42,159,300,132,232,66,366
"DavisonCounty",63,0,68,711,2046,636,1929,209,277,326,93,501,121,287,898,1796,93,1347,335,461
"DayCounty",86,0,30,66,190,168,267,30,8,64,1,31,0,5,230,286,2,179,59,133
"DeuelCounty",91,0,28,142,337,32,115,61,70,38,0,26,0,10,122,126,6,76,25,89
"DeweyCounty",20,7,22,33,10,61,185,0,52,53,85,25,1,11,519,310,0,39,5,752
"DouglasCounty",33,1,11,54,83,219,148,72,7,34,17,12,0,14,87,191,2,30,36,82
"EdmundsCounty",98,0,30,40,68,236,134,52,5,53,4,41,1,9,146,148,0,87,18,80
"FallRiverCounty",37,9,13,86,17,12,220,6,29,38,13,76,0,25,269,767,126,292,59,177
"FaulkCounty",10,0,0,22,27,64,57,0,8,30,0,8,0,0,57,138,0,53,8,60
"GrantCounty",119,34,133,307,455,402,494,145,64,160,23,42,0,135,215,307,30,293,79,112
"GregoryCounty",52,22,25,108,22,108,205,11,9,78,12,36,0,10,189,264,26,101,31,94
"HaakonCounty",30,0,5,19,63,98,87,13,42,44,0,12,0,2,93,180,2,28,18,36
"HamlinCounty",97,0,4,211,210,170,161,53,7,70,7,29,0,22,283,223,12,36,29,111
"HandCounty",135,0,12,29,31,126,164,73,2,143,5,50,0,13,121,188,4,58,26,95
"HansonCounty",18,17,0,116,74,38,34,48,0,47,0,19,0,4,140,8,0,14,0,54
"HardingCounty",15,39,5,90,0,2,28,21,1,8,0,1,2,0,56,57,2,12,0,109
"HughesCounty",84,2,17,431,97,358,1352,295,205,576,131,967,8,140,542,1278,203,930,371,3166
"HutchinsonCounty",120,0,4,69,252,371,248,39,13,103,4,32,0,28,315,673,13,126,50,139
"HydeCounty",78,0,19,20,0,55,65,0,40,11,2,3,0,0,147,47,2,0,4,38
"JacksonCounty",0,0,1,33,0,20,117,9,9,18,0,7,0,8,152,49,84,66,10,85
"JerauldCounty",42,0,2,37,1021,117,62,23,3,32,3,14,0,2,77,109,4,58,12,61
"JonesCounty",12,0,26,6,0,7,78,6,4,17,0,5,0,0,41,16,2,87,4,54
"KingsburyCounty",94,0,26,132,390,172,154,58,12,125,7,18,0,0,220,162,16,106,39,97
"LakeCounty",124,7,151,162,806,268,527,43,57,120,20,156,8,89,656,668,33,366,97,285
"LawrenceCounty",71,221,32,605,554,189,1295,189,136,270,142,296,40,406,1127,1365,721,2608,271,636
"LincolnCounty",43,0,97,1592,2181,844,1837,361,396,2213,208,721,752,1069,1548,2751,322,1367,582,238
"LymanCounty",27,0,5,24,13,51,155,11,29,33,33,5,0,5,190,5,47,355,4,366
"McCookCounty",67,0,6,84,58,134,144,50,37,48,7,56,0,27,155,247,13,65,26,68
"McPhersonCounty",61,0,0,9,45,61,39,25,12,60,0,5,0,0,107,90,1,12,29,128
"MarshallCounty",248,6,8,96,333,111,181,15,3,61,3,30,5,10,142,190,5,88,46,86
"MeadeCounty",20,3,22,885,269,226,588,277,22,211,113,217,15,215,603,1808,54,587,208,412
