County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AuroraCounty,575,188,217,829,362,539
BeadleCounty,3467,1147,2064,5464,2250,3006
BennettCounty,986,316,464,934,347,384
BonHommeCounty,1106,406,891,2431,889,1347
BrookingsCounty,5166,3643,9005,8127,2854,3170
BrownCounty,7085,2454,5290,11379,4450,5873
BruleCounty,1088,375,515,1684,679,914
BuffaloCounty,639,194,268,539,135,137
ButteCounty,2093,688,1125,3172,1441,1591
CampbellCounty,204,112,96,465,219,370
CharlesMixCounty,2249,703,882,2649,1027,1619
ClarkCounty,719,221,318,1098,531,804
ClayCounty,2042,1633,4328,3185,1255,1421
CodingtonCounty,5660,1915,3561,8856,3184,4051
CorsonCounty,1158,372,515,1198,384,423
CusterCounty,1254,493,589,2476,1638,1766
DavisonCounty,3851,1441,2706,5892,2313,3301
DayCounty,1018,320,507,1689,867,1309
DeuelCounty,836,290,389,1425,585,839
DeweyCounty,1490,509,652,1655,480,515
DouglasCounty,542,200,231,880,422,727
EdmundsCounty,778,279,343,1253,535,883
FallRiverCounty,1085,381,522,2123,1345,1638
FaulkCounty,450,153,206,687,308,560
GrantCounty,1364,498,636,2445,1050,1363
GregoryCounty,785,256,316,1251,650,1013
HaakonCounty,355,107,135,630,289,421
HamlinCounty,1521,428,569,1737,628,1020
HandCounty,582,199,284,1040,459,867
HansonCounty,910,249,287,1072,346,467
HardingCounty,214,116,112,419,212,182
HughesCounty,3355,1054,2023,5967,2338,2285
HutchinsonCounty,1403,471,555,2132,944,1838
HydeCounty,264,84,135,413,203,321
JacksonCounty,814,258,397,844,311,407
JerauldCounty,376,89,183,574,330,519
JonesCounty,183,61,82,334,139,207
KingsburyCounty,921,305,436,1602,764,1120
LakeCounty,2014,903,1577,3354,1459,1893
LawrenceCounty,3874,1844,3653,7216,3517,3993
LincolnCounty,11543,2503,6189,16207,4354,4032
LymanCounty,899,301,426,1152,429,548
McCookCounty,1212,345,441,1825,729,1066
McPhersonCounty,433,143,139,665,346,733
MarshallCounty,821,313,591,1377,667,887
MeadeCounty,5445,1657,3652,8326,3316,3038
MelletteCounty,545,175,217,585,249,277
MinerCounty,470,148,183,735,321,532
MinnehahaCounty,35727,11425,26561,58527,18385,18843
MoodyCounty,1390,450,679,2105,879,983
PenningtonCounty,20870,6575,14466,32927,12493,13617
PerkinsCounty,522,171,242,895,462,690
PotterCounty,380,127,164,664,367,627
RobertsCounty,2350,779,991,2956,1315,1758
SanbornCounty,409,150,231,740,348,477
ShannonCounty,4422,1505,2189,3724,947,799
SpinkCounty,1259,478,613,1892,882,1291
StanleyCounty,573,203,288,979,454,469
SullyCounty,248,82,118,454,208,263
ToddCounty,3316,874,1508,2535,786,593
TrippCounty,1070,380,516,1736,755,1187
TurnerCounty,1620,526,750,2717,1151,1583
UnionCounty,3117,940,1362,4956,2002,2022
WalworthCounty,997,314,508,1520,796,1303
YanktonCounty,4058,1450,2689,7757,2819,3665
ZiebachCounty,940,259,389,813,205,195
