County,Metropolitan,Town
AuroraCounty,1,1
BeadleCounty,1,1
BennettCounty,1,1
BonHommeCounty,1,1
BrookingsCounty,1,1
BrownCounty,1,1
BruleCounty,1,1
BuffaloCounty,1,1
ButteCounty,1,1
CampbellCounty,1,1
CharlesMixCounty,1,1
ClarkCounty,1,1
ClayCounty,1,1
CodingtonCounty,1,1
CorsonCounty,1,1
CusterCounty,1,1
DavisonCounty,1,1
DayCounty,1,1
DeuelCounty,1,1
DeweyCounty,1,1
DouglasCounty,1,1
EdmundsCounty,1,1
FallRiverCounty,1,1
FaulkCounty,1,1
GrantCounty,1,1
GregoryCounty,1,1
HaakonCounty,1,1
HamlinCounty,1,1
HandCounty,1,1
HansonCounty,1,1
HardingCounty,1,1
HughesCounty,1,1
HutchinsonCounty,1,1
HydeCounty,1,1
JacksonCounty,1,1
JerauldCounty,1,1
JonesCounty,1,1
KingsburyCounty,1,1
LakeCounty,1,1
LawrenceCounty,1,1
LincolnCounty,1,1
LymanCounty,1,1
MarshallCounty,1,1
McCookCounty,1,1
McPhersonCounty,1,1
MeadeCounty,1,1
MelletteCounty,1,1
MinerCounty,1,1
MinnehahaCounty,1,1
MoodyCounty,1,1
PenningtonCounty,1,1
PerkinsCounty,1,1
PotterCounty,1,1
RobertsCounty,1,1
SanbornCounty,1,1
ShannonCounty,1,1
SpinkCounty,1,1
StanleyCounty,1,1
SullyCounty,1,1
ToddCounty,1,1
TrippCounty,1,1
TurnerCounty,1,1
UnionCounty,1,1
WalworthCounty,1,1
YanktonCounty,1,1
ZiebachCounty,1,1
