Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Chattanooga,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattanooga,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattanooga,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattanooga,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarksville,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarksville,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarksville,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarksville,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnsonCity,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnsonCity,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnsonCity,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnsonCity,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Knoxville,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Knoxville,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Knoxville,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Knoxville,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Memphis,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Memphis,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Memphis,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Memphis,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Morristown,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Morristown,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Morristown,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Morristown,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
NashvilleDavidson,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
NashvilleDavidson,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
NashvilleDavidson,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
NashvilleDavidson,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
