Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtSmooth,Chattanooga,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Chattanooga,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Chattanooga,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Chattanooga,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Clarksville,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Clarksville,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Clarksville,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Clarksville,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,JohnsonCity,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,JohnsonCity,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,JohnsonCity,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,JohnsonCity,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Knoxville,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Knoxville,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Knoxville,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Knoxville,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Morristown,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Morristown,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Morristown,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Morristown,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,NashvilleDavidson,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,NashvilleDavidson,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,NashvilleDavidson,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,NashvilleDavidson,0,0,0,0,0,0,0,0,0,0,0,0,0
