"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.132410489236123,0.867589510763877,3,7
2,0.234214690339018,0.765785309660982,9,13
3,0.0706602788872193,0.929339721112781,4,15
4,0.151124954701332,0.848875045298668,4,14
5,0.00607997525979511,0.993920024740205,2,20
6,0.186968848166738,0.813031151833262,13,3
7,0.147610954671401,0.852389045328599,13,39
8,0.233455388714992,0.766544611285008,1,7
9,0.134342821827482,0.865657178172518,0,1
10,0.511086890555729,0.488913109444271,3,1
11,0.250906233664205,0.749093766335795,8,10
12,0.267448458289298,0.732551541710702,18,25
13,0.574043705293349,0.425956294706651,3,1
14,0.296984478905375,0.703015521094625,0,0
15,0.254762106060935,0.745237893939064,0,0
16,0.163289593857683,0.836710406142317,4,6
17,0.0512840369554983,0.948715963044502,1,8
18,0.0540971030449189,0.945902896955081,5,10
19,0.605417988865064,0.394582011134936,14,3
20,0.0209827244075506,0.979017275592449,1,13
21,0.48565728180227,0.51434271819773,1,0
22,0.634547071721447,0.365452928278553,3,2
23,0.146691462539267,0.853308537460733,4,7
24,0.143309869173441,0.856690130826559,0,6
25,0.172627570488467,0.827372429511533,1,6
26,0.206021398067434,0.793978601932566,12,10
27,0.0664638925860683,0.933536107413932,1,1
28,0.13006920545436,0.86993079454564,5,2
29,0.499509853805331,0.500490146194669,2,1
30,0.122154702334916,0.877845297665084,2,4
31,0.734861980997952,0.265138019002048,61,18
32,0.084178532824367,0.915821467175633,3,8
33,0.3322003072669,0.6677996927331,27,19
34,0.0413743155153149,0.958625684484685,8,32
35,0.267488635666556,0.732511364333444,1,2
36,0.194108568964582,0.805891431035418,12,16
37,0.0687078468861626,0.931292153113837,0,3
38,0.301345390186715,0.698654609813286,0,0
39,0.158874781744774,0.841125218255226,5,5
40,0.402906201237984,0.597093798762016,120,98
41,0.711944279294145,0.288055720705855,30,5
43,0.0102090265564867,0.989790973443513,3,99
99,0.186668357017929,0.813331642982071,4,11
