"County","Density"
"BeaverCounty",1.4
"BoxElderCounty",2.7
"CacheCounty",15.8
"CarbonCounty",4.9
"DaggettCounty",1.5
"DavisCounty",15
"DuchesneCounty",3.9
"EmeryCounty",1.8
"GarfieldCounty",1
"GrandCounty",0.6
"IronCounty",3.2
"JuabCounty",1.3
"KaneCounty",1
"MillardCounty",1.4
"MorganCounty",9.8
"PiuteCounty",2.1
"RichCounty",2.2
"SaltLakeCounty",20
"SanJuanCounty",1.5
"SanpeteCounty",7.2
"SevierCounty",7.1
"SummitCounty",7.7
"TooeleCounty",1.5
"UintahCounty",3.4
"UtahCounty",9.4
"WasatchCounty",5.4
"WashingtonCounty",8.9
"WayneCounty",1.1
"WeberCounty",27.9
