"County","FIPS","StateFIPS","CountyFIPS"
"BeaverCounty",49001,49,1
"BoxElderCounty",49003,49,3
"CacheCounty",49005,49,5
"CarbonCounty",49007,49,7
"DaggettCounty",49009,49,9
"DavisCounty",49011,49,11
"DuchesneCounty",49013,49,13
"EmeryCounty",49015,49,15
"GarfieldCounty",49017,49,17
"GrandCounty",49019,49,19
"IronCounty",49021,49,21
"JuabCounty",49023,49,23
"KaneCounty",49025,49,25
"MillardCounty",49027,49,27
"MorganCounty",49029,49,29
"PiuteCounty",49031,49,31
"RichCounty",49033,49,33
"SaltLakeCounty",49035,49,35
"SanJuanCounty",49037,49,37
"SanpeteCounty",49039,49,39
"SevierCounty",49041,49,41
"SummitCounty",49043,49,43
"TooeleCounty",49045,49,45
"UintahCounty",49047,49,47
"UtahCounty",49049,49,49
"WasatchCounty",49051,49,51
"WashingtonCounty",49053,49,53
"WayneCounty",49055,49,55
"WeberCounty",49057,49,57
