"County","BeaverCounty","BoxElderCounty","CacheCounty","CarbonCounty","DaggettCounty","DavisCounty","DuchesneCounty","EmeryCounty","GarfieldCounty","GrandCounty","IronCounty","JuabCounty","KaneCounty","MillardCounty","MorganCounty","PiuteCounty","RichCounty","SaltLakeCounty","SanJuanCounty","SanpeteCounty","SevierCounty","SummitCounty","TooeleCounty","UintahCounty","UtahCounty","WasatchCounty","WashingtonCounty","WayneCounty","WeberCounty"
"BeaverCounty",26.2,311.5,312.2,214.1,376.2,247.9,275.5,190.2,113.1,262.3,63.5,111.4,120.6,62.6,267.5,102.2,326.4,219.5,357.9,147.6,100.4,251.3,187.2,318.8,187.7,219.4,96.1,161.3,267.1
"BoxElderCounty",311.5,42.2,57.9,205.9,223,64.7,205.8,242,367.8,315.9,348.1,186.9,387.2,248.4,80.5,288.2,130.4,91.1,411.5,201.1,243.8,105.6,151.4,249.1,127.8,130.7,380.7,301.6,48.9
"CacheCounty",312.2,57.9,17.6,206.7,202.3,65.4,206.6,242.8,368.5,316.7,348.9,187.6,388,249.1,81.3,288.9,76.2,91.8,412.3,201.9,244.6,106.3,152.2,249.9,128.6,131.5,381.5,302.4,49.7
"CarbonCounty",214.1,205.9,206.7,19.8,169.5,142.4,68.8,43.4,240.6,116.4,250.8,134,260.1,183.4,162,169.7,220.8,114,212,106.5,125.3,145.8,186.8,112.1,82.2,113.9,283.4,158.2,161.6
"DaggettCounty",376.2,223,202.3,169.5,13.8,179.6,113.5,205.5,402.7,232.4,412.8,275.6,422.2,324.7,147.9,331.8,136.6,185.3,368.3,247.8,287.4,150.9,248.6,69.2,204.2,176,445.5,321.2,178.6
"DavisCounty",247.9,64.7,65.4,142.4,179.6,13,143.3,178.5,304.2,252.4,284.6,123.3,323.7,184.8,37.2,224.6,118.2,27.5,348,137.6,180.3,62.2,87.9,186.6,64.3,68.2,317.2,238.1,20.3
"DuchesneCounty",275.5,205.8,206.6,68.8,113.5,143.3,29.4,104.8,302,178.8,312.1,174.6,321.5,224,130.8,231.1,189.6,127.8,274.4,147.1,186.7,114.6,191.1,56.1,110.9,75.4,344.8,220.5,161.5
"EmeryCounty",190.2,242,242.8,43.4,205.5,178.5,104.8,34.4,216.7,151.6,226.9,170.1,236.2,184.8,198.1,145.8,256.9,150.1,247.2,123.6,101.4,181.8,222.8,148.1,118.3,149.9,259.5,159.2,197.6
"GarfieldCounty",113.1,367.8,368.5,240.6,402.7,304.2,302,216.7,37.1,242.5,107.8,203.5,56.6,173.1,323.8,87.6,382.7,275.8,275.7,174.1,126.9,307.6,279.3,345.3,244,275.7,139.3,95.5,323.4
"GrandCounty",262.3,315.9,316.7,116.4,232.4,252.4,178.8,151.6,242.5,31.3,298.9,247.8,308.3,256.9,272,217.9,330.8,224,154.6,195.7,173.5,255.8,296.8,195.8,192.2,223.8,331.6,149.3,271.6
"IronCounty",63.5,348.1,348.9,250.8,412.8,284.6,312.1,226.9,107.8,298.9,29.6,183.8,85.3,123.4,304.2,109.2,363,256.2,394.5,184.2,137,287.9,259.7,355.4,224.4,256,59.5,177.7,303.8
"JuabCounty",111.4,186.9,187.6,134,275.6,123.3,174.6,170.1,203.5,247.8,183.8,30,223,62.5,155.3,149,214.2,94.9,343.4,68.3,112.8,139.1,86.6,217.9,75.2,106.9,216.5,170.6,142.5
"KaneCounty",120.6,387.2,388,260.1,422.2,323.7,321.5,236.2,56.6,308.3,85.3,223,33,180.6,343.3,107.1,402.1,295.3,279.1,193.6,146.4,327.1,298.8,364.8,263.5,295.2,100.1,175.6,342.9
"MillardCounty",62.6,248.4,249.1,183.4,324.7,184.8,224,184.8,173.1,256.9,123.4,62.5,180.6,42.5,204.4,153.4,263.3,156.4,352.5,114.4,117.3,188.2,138.4,267.3,124.6,156.3,156.1,175.1,204
"MorganCounty",267.5,80.5,81.3,162,147.9,37.2,130.8,198.1,323.8,272,304.2,155.3,343.3,204.4,12.7,244.2,86.4,58.7,367.6,157.2,199.9,30.5,119,174.1,83.9,55.7,336.8,257.6,36.1
"PiuteCounty",102.2,288.2,288.9,169.7,331.8,224.6,231.1,145.8,87.6,217.9,109.2,149,107.1,153.4,244.2,14.2,303.1,196.2,251.4,103.2,46.2,228,222.1,274.4,164.4,196.1,141.8,71.2,243.8
"RichCounty",326.4,130.4,76.2,220.8,136.6,118.2,189.6,256.9,382.7,330.8,363,214.2,402.1,263.3,86.4,303.1,17,123.9,426.4,216.1,258.7,89.4,187.1,203.8,142.8,114.5,395.6,316.5,117.1
"SaltLakeCounty",219.5,91.1,91.8,114,185.3,27.5,127.8,150.1,275.8,224,256.2,94.9,295.3,156.4,58.7,196.2,123.9,14.6,319.6,109.2,151.9,48.8,74.9,171.1,35.9,52.7,288.8,209.7,46.7
"SanJuanCounty",357.9,411.5,412.3,212,368.3,348,274.4,247.2,275.7,154.6,394.5,343.4,279.1,352.5,367.6,251.4,426.4,319.6,45.8,291.3,241.9,351.4,392.4,317.7,287.8,319.5,327.6,182.6,367.2
"SanpeteCounty",147.6,201.1,201.9,106.5,247.8,137.6,147.1,123.6,174.1,195.7,184.2,68.3,193.6,114.4,157.2,103.2,216.1,109.2,291.3,20.6,58.8,141,135.1,190.4,77.4,109.1,216.9,116.6,156.8
"SevierCounty",100.4,243.8,244.6,125.3,287.4,180.3,186.7,101.4,126.9,173.5,137,112.8,146.4,117.3,199.9,46.2,258.7,151.9,241.9,58.8,22.5,183.6,177.8,230,120.1,151.7,169.7,61.7,199.4
"SummitCounty",251.3,105.6,106.3,145.8,150.9,62.2,114.6,181.8,307.6,255.8,287.9,139.1,327.1,188.2,30.5,228,89.4,48.8,351.4,141,183.6,22.3,112.1,157.9,67.7,39.5,320.6,241.4,61.2
"TooeleCounty",187.2,151.4,152.2,186.8,248.6,87.9,191.1,222.8,279.3,296.8,259.7,86.6,298.8,138.4,119,222.1,187.1,74.9,392.4,135.1,177.8,112.1,43.9,234.4,108.7,116,292.3,235.6,107.1
"UintahCounty",318.8,249.1,249.9,112.1,69.2,186.6,56.1,148.1,345.3,195.8,355.4,217.9,364.8,267.3,174.1,274.4,203.8,171.1,317.7,190.4,230,157.9,234.4,34.5,154.2,118.7,388.1,263.8,204.8
"UtahCounty",187.7,127.8,128.6,82.2,204.2,64.3,110.9,118.3,244,192.2,224.4,75.2,263.5,124.6,83.9,164.4,142.8,35.9,287.8,77.4,120.1,67.7,108.7,154.2,23.8,35.8,257,177.9,83.5
"WasatchCounty",219.4,130.7,131.5,113.9,176,68.2,75.4,149.9,275.7,223.8,256,106.9,295.2,156.3,55.7,196.1,114.5,52.7,319.5,109.1,151.7,39.5,116,118.7,35.8,17.9,288.7,209.5,86.4
"WashingtonCounty",96.1,380.7,381.5,283.4,445.5,317.2,344.8,259.5,139.3,331.6,59.5,216.5,100.1,156.1,336.8,141.8,395.6,288.8,327.6,216.9,169.7,320.6,292.3,388.1,257,288.7,25.4,210.3,336.4
"WayneCounty",161.3,301.6,302.4,158.2,321.2,238.1,220.5,159.2,95.5,149.3,177.7,170.6,175.6,175.1,257.6,71.2,316.5,209.7,182.6,116.6,61.7,241.4,235.6,263.8,177.9,209.5,210.3,25.6,257.2
"WeberCounty",267.1,48.9,49.7,161.6,178.6,20.3,161.5,197.6,323.4,271.6,303.8,142.5,342.9,204,36.1,243.8,117.1,46.7,367.2,156.8,199.4,61.2,107.1,204.8,83.5,86.4,336.4,257.2,13.2
