County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
BeaverCounty,1872,562,702,1984,677,832
BoxElderCounty,14276,4015,6245,15355,4521,5563
CacheCounty,30635,10261,24851,30146,8069,8694
CarbonCounty,4857,1652,2940,6377,2674,2903
DaggettCounty,202,48,114,324,170,201
DavisCounty,89792,24324,43191,98392,25788,24992
DuchesneCounty,5360,1429,2624,5499,1711,1984
EmeryCounty,2966,825,1282,3232,1303,1368
GarfieldCounty,1139,376,548,1498,780,831
GrandCounty,1771,539,1080,3198,1386,1251
IronCounty,11760,4586,8999,12217,4068,4533
JuabCounty,3196,907,1122,3038,940,1043
KaneCounty,1434,471,649,2003,1180,1388
MillardCounty,3312,1055,1310,3632,1424,1770
MorganCounty,2790,833,924,2970,955,997
PiuteCounty,389,113,118,397,207,332
RichCounty,602,147,242,648,282,343
SaltLakeCounty,254418,74773,170788,344777,95532,89367
SanJuanCounty,4123,1400,1870,4324,1429,1600
SanpeteCounty,6801,3574,4031,7610,2609,3197
SevierCounty,5526,1619,2416,6059,2166,3016
SummitCounty,8284,2566,4004,14154,4548,2768
TooeleCounty,17954,4554,6992,19511,4828,4379
UintahCounty,9294,2473,4999,9942,2883,2997
UtahCounty,156992,48158,105865,140326,31766,33457
WasatchCounty,6830,1715,2680,8060,2228,2017
WashingtonCounty,35290,10658,18461,35865,14015,23826
WayneCounty,700,196,259,824,374,425
WeberCounty,58882,17261,36767,73210,21728,23388
