"County","Metropolitan","Town"
"BeaverCounty",0,2.063324454776
"BoxElderCounty",12.06198864284,7.938897277116
"CacheCounty",43.929525709592,0
"CarbonCounty",0,9.509628167068
"DaggettCounty",0,0
"DavisCounty",110.831609220136,0
"DuchesneCounty",0,3.08690865612
"EmeryCounty",0,2.626071980796
"GarfieldCounty",0,0
"GrandCounty",0,4.278514795314
"IronCounty",0,18.559232403522
"JuabCounty",0,3.863185260016
"KaneCounty",0,2.408073000066
"MillardCounty",0,1.917531953474
"MorganCounty",0,2.404111207444
"PiuteCounty",0,0
"RichCounty",0,0
"SaltLakeCounty",276.793046179286,0
"SanJuanCounty",0,1.67008806202
"SanpeteCounty",0,8.187364724972
"SevierCounty",0,2.63846276618
"SummitCounty",0,18.102101921296
"TooeleCounty",0,21.124792548368
"UintahCounty",0,17.113346823066
"UtahCounty",169.372684036636,9.909086207452
"WasatchCounty",0,12.843342101934
"WashingtonCounty",44.89318572223,11.21708935828
"WayneCounty",0,0
"WeberCounty",95.349891224972,0
