"County","Metropolitan","Town","Rural"
"BeaverCounty",0,0.4348,0.5652
"BoxElderCounty",0.4911,0.1979,0.311
"CacheCounty",0.8431,0,0.1569
"CarbonCounty",0,0.6629,0.3371
"DaggettCounty",0,0,1
"DavisCounty",0.9908,0,0.0092
"DuchesneCounty",0,0.3179,0.6821
"EmeryCounty",0,0.2636,0.7364
"GarfieldCounty",0,0,1
"GrandCounty",0,0.7461,0.2539
"IronCounty",0,0.7745,0.2255
"JuabCounty",0,0.5653,0.4347
"KaneCounty",0,0.4508,0.5492
"MillardCounty",0,0.2606,0.7394
"MorganCounty",0,0.3715,0.6285
"PiuteCounty",0,0,1
"RichCounty",0,0,1
"SaltLakeCounty",0.991,0,0.009
"SanJuanCounty",0,0.2213,0.7787
"SanpeteCounty",0,0.5907,0.4093
"SevierCounty",0,0.3529,0.6471
"SummitCounty",0,0.608,0.392
"TooeleCounty",0,0.823,0.177
"UintahCounty",0,0.5315,0.4685
"UtahCounty",0.9364,0.0303,0.0333
"WasatchCounty",0,0.7315,0.2685
"WashingtonCounty",0.7122,0.1356,0.1521
"WayneCounty",0,0,1
"WeberCounty",0.942,0,0.058
