"County","Density"
"AccomackCounty",73.8
"AlbemarleCounty",64.3
"AlleghanyCounty",19.4
"AmeliaCounty",35.7
"AmherstCounty",44.9
"AppomattoxCounty",44.9
"ArlingtonCounty",NA
"AugustaCounty",52
"BathCounty",8.9
"BedfordCounty",73.6
"BlandCounty",19.1
"BotetourtCounty",40.3
"BrunswickCounty",23.4
"BuchananCounty",47.9
"BuckinghamCounty",29.6
"CampbellCounty",69.2
"CarolineCounty",42.8
"CarrollCounty",61.6
"CharlesCityCounty",39.7
"CharlotteCounty",26.5
"ChesterfieldCounty",83.6
"ClarkeCounty",56
"CraigCounty",15.7
"CulpeperCounty",77.8
"CumberlandCounty",32.5
"DickensonCounty",48.1
"DinwiddieCounty",40.2
"EssexCounty",33.9
"FairfaxCounty",195.5
"FauquierCounty",59.9
"FloydCounty",40.2
"FluvannaCounty",57.7
"FranklinCounty",73.4
"FrederickCounty",90.9
"GilesCounty",32.7
"GloucesterCounty",115.1
"GoochlandCounty",75.1
"GraysonCounty",35.1
"GreeneCounty",64.5
"GreensvilleCounty",36.3
"HalifaxCounty",34.4
"HanoverCounty",92
"HenricoCounty",129
"HenryCounty",93.7
"HighlandCounty",5.6
"IsleofWightCounty",67.3
"JamesCityCounty",106.9
"KingandQueenCounty",22
"KingGeorgeCounty",101.2
"KingWilliamCounty",48.7
"LancasterCounty",85.5
"LeeCounty",58.5
"LoudounCounty",95.9
"LouisaCounty",66.8
"LunenburgCounty",29.9
"MadisonCounty",41.5
"MathewsCounty",104.5
"MecklenburgCounty",41.1
"MiddlesexCounty",84.1
"MontgomeryCounty",68.2
"NelsonCounty",31.9
"NewKentCounty",87.9
"NorthamptonCounty",58.5
"NorthumberlandCounty",64.5
"NottowayCounty",26.8
"OrangeCounty",58.6
"PageCounty",62.8
"PatrickCounty",38.3
"PittsylvaniaCounty",57.1
"PowhatanCounty",107.5
"PrinceEdwardCounty",43
"PrinceGeorgeCounty",76.1
"PrinceWilliamCounty",100
"PulaskiCounty",53.5
"RappahannockCounty",27.7
"RichmondCounty",48.3
"RoanokeCounty",86
"RockbridgeCounty",34.4
"RockinghamCounty",54.9
"RussellCounty",54.1
"ScottCounty",35.9
"ShenandoahCounty",55.9
"SmythCounty",54.5
"SouthamptonCounty",30.4
"SpotsylvaniaCounty",111.7
"StaffordCounty",121.4
"SurryCounty",25.3
"SussexCounty",24.7
"TazewellCounty",47.3
"WarrenCounty",96.5
"WashingtonCounty",72.6
"WestmorelandCounty",60.5
"WiseCounty",60.6
"WytheCounty",48.4
"YorkCounty",60.8
"Alexandriacity",NA
"Bedfordcity",123.2
"Bristolcity",21
"BuenaVistacity",76.3
"Charlottesvillecity",NA
"Chesapeakecity",67.2
"ColonialHeightscity",0
"Covingtoncity",0
"Danvillecity",123.8
"Emporiacity",135.6
"Fairfaxcity",NA
"FallsChurchcity",NA
"Franklincity",112.4
"Fredericksburgcity",192
"Galaxcity",289.4
"Hamptoncity",128.5
"Harrisonburgcity",NA
"Hopewellcity",0
"Lexingtoncity",NA
"Lynchburgcity",191.5
"Manassascity",0
"ManassasParkcity",NA
"Martinsvillecity",NA
"NewportNewscity",3.8
"Norfolkcity",NA
"Nortoncity",32.6
"Petersburgcity",114.2
"Poquosoncity",101.9
"Portsmouthcity",NA
"Radfordcity",231
"Richmondcity",NA
"Roanokecity",83.7
"Salemcity",NA
"Stauntoncity",128.2
"Suffolkcity",51.7
"VirginiaBeachcity",59
"Waynesborocity",139.8
"Williamsburgcity",NA
"Winchestercity",NA
