"County","Metropolitan","Town","Rural"
"AccomackCounty",0,0,1
"AlbemarleCounty",0.4939,0.0558,0.4502
"AlleghanyCounty",0,0.4761,0.5239
"AmeliaCounty",0,0,1
"AmherstCounty",0.3634,0,0.6366
"AppomattoxCounty",0,0,1
"ArlingtonCounty",1,0,0
"AugustaCounty",0.1799,0.1557,0.6644
"BathCounty",0,0,1
"BedfordCounty",0.205,0.0107,0.7843
"BlandCounty",0,0,1
"BotetourtCounty",0.3577,0.0013,0.641
"BrunswickCounty",0,0.2449,0.7551
"BuchananCounty",0,0,1
"BuckinghamCounty",0,0,1
"CampbellCounty",0.3236,0.0653,0.6111
"CarolineCounty",0,0.216,0.784
"CarrollCounty",0,0.0286,0.9714
"CharlesCityCounty",0,0,1
"CharlotteCounty",0,0,1
"ChesterfieldCounty",0.9407,0,0.0593
"ClarkeCounty",0,0.3048,0.6952
"CraigCounty",0,0,1
"CulpeperCounty",0,0.3808,0.6192
"CumberlandCounty",0,0.04,0.96
"DickensonCounty",0,0,1
"DinwiddieCounty",0.2879,0,0.7121
"EssexCounty",0,0.2272,0.7728
"FairfaxCounty",0.9861,0,0.0139
"FauquierCounty",0.3234,0.1016,0.575
"FloydCounty",0,0,1
"FluvannaCounty",0,0.3709,0.6291
"FranklinCounty",0,0.1077,0.8923
"FrederickCounty",0.5523,0,0.4477
"GilesCounty",0,0.3372,0.6628
"GloucesterCounty",0.2404,0.1133,0.6463
"GoochlandCounty",0.0301,0,0.9699
"GraysonCounty",0,0.0012,0.9988
"GreeneCounty",0,0.4876,0.5124
"GreensvilleCounty",0,0.1299,0.8701
"HalifaxCounty",0,0.2292,0.7708
"HanoverCounty",0.6091,0,0.3909
"HenricoCounty",0.9573,0,0.0427
"HenryCounty",0,0.3928,0.6072
"HighlandCounty",0,0,1
"IsleofWightCounty",0.1215,0.3046,0.5739
"JamesCityCounty",0.8415,0,0.1585
"KingandQueenCounty",0,0,1
"KingGeorgeCounty",0,0.2681,0.7319
"KingWilliamCounty",0,0.1679,0.8321
"LancasterCounty",0,0,1
"LeeCounty",0,0.0044,0.9956
"LoudounCounty",0.83,0.0439,0.126
"LouisaCounty",0,0,1
"LunenburgCounty",0,0,1
"MadisonCounty",0,0,1
"MathewsCounty",0,0,1
"MecklenburgCounty",0,0.2219,0.7781
"MiddlesexCounty",0,0,1
"MontgomeryCounty",0.7507,0,0.2493
"NelsonCounty",0,0,1
"NewKentCounty",0,0,1
"NorthamptonCounty",0,0,1
"NorthumberlandCounty",0,0,1
"NottowayCounty",0,0.4766,0.5234
"OrangeCounty",0,0.4222,0.5778
"PageCounty",0,0.1984,0.8016
"PatrickCounty",0,0,1
"PittsylvaniaCounty",0,0.1437,0.8563
"PowhatanCounty",0.0032,0,0.9968
"PrinceEdwardCounty",0,0.3679,0.6321
"PrinceGeorgeCounty",0.466,0,0.534
"PrinceWilliamCounty",0.9583,0,0.0417
"PulaskiCounty",0.0703,0.4607,0.469
"RappahannockCounty",0,0,1
"RichmondCounty",0,0,1
"RoanokeCounty",0.8146,0,0.1854
"RockbridgeCounty",0,0.0836,0.9164
"RockinghamCounty",0.2342,0.1725,0.5933
"RussellCounty",0,0.1181,0.8819
"ScottCounty",0.1788,0,0.8212
"ShenandoahCounty",0,0.3342,0.6658
"SmythCounty",0,0.2471,0.7529
"SouthamptonCounty",0,0.0204,0.9796
"SpotsylvaniaCounty",0.6767,0,0.3233
"StaffordCounty",0.8025,0,0.1975
"SurryCounty",0,0,1
"SussexCounty",0,0,1
"TazewellCounty",0,0.4811,0.5189
"WarrenCounty",0,0.4959,0.5041
"WashingtonCounty",0.2832,0,0.7168
"WestmorelandCounty",0,0.2116,0.7884
"WiseCounty",0,0.4333,0.5667
"WytheCounty",0,0.2467,0.7533
"YorkCounty",0.939,0,0.061
"Alexandriacity",1,0,0
"Bedfordcity",0,0.9794,0.0206
"Bristolcity",0.9996,0,4e-04
"BuenaVistacity",0,0.9611,0.0389
"Charlottesvillecity",1,0,0
"Chesapeakecity",0.9237,0,0.0763
"ColonialHeightscity",1,0,0
"Covingtoncity",0,1,0
"Danvillecity",0,0.9548,0.0452
"Emporiacity",0,0.9369,0.0631
"Fairfaxcity",1,0,0
"FallsChurchcity",1,0,0
"Franklincity",0,0.9675,0.0325
"Fredericksburgcity",0.9883,0,0.0117
"Galaxcity",0,0.8628,0.1372
"Hamptoncity",0.9975,0,0.0025
"Harrisonburgcity",1,0,0
"Hopewellcity",1,0,0
"Lexingtoncity",0,1,0
"Lynchburgcity",0.9731,0,0.0269
"Manassascity",1,0,0
"ManassasParkcity",1,0,0
"Martinsvillecity",0,1,0
"NewportNewscity",0.9997,0,3e-04
"Norfolkcity",1,0,0
"Nortoncity",0,0.9742,0.0258
"Petersburgcity",0.9789,0,0.0211
"Poquosoncity",0.935,0,0.065
"Portsmouthcity",1,0,0
"Radfordcity",0.9707,0,0.0293
"Richmondcity",1,0,0
"Roanokecity",0.9999,0,1e-04
"Salemcity",1,0,0
"Stauntoncity",0.9631,0,0.0369
"Suffolkcity",0.7837,0,0.2163
"VirginiaBeachcity",0.9847,0,0.0153
"Waynesborocity",0.9747,0,0.0253
"Williamsburgcity",1,0,0
"Winchestercity",1,0,0
