Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
BristolBristol,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
BristolBristol,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
BristolBristol,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
BristolBristol,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlottesville,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlottesville,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlottesville,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlottesville,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrisonburg,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrisonburg,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrisonburg,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrisonburg,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingsport,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingsport,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingsport,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingsport,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Roanoke,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Roanoke,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Roanoke,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Roanoke,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
VirginiaBeach,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
VirginiaBeach,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
VirginiaBeach,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
VirginiaBeach,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Winchester,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Winchester,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Winchester,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Winchester,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
