Type,Level,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtLtVeh,Ext,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtTruck,Ext,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyLtVeh,Ext,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyTruck,Ext,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtLtVeh,Hvy,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtTruck,Hvy,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyLtVeh,Hvy,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyTruck,Hvy,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtLtVeh,Mod,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtTruck,Mod,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyLtVeh,Mod,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyTruck,Mod,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtLtVeh,Sev,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtTruck,Sev,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyLtVeh,Sev,0,0,0,0,0,0,0,0,0,0,0,0,0
FwyTruck,Sev,0,0,0,0,0,0,0,0,0,0,0,0,0
