Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtSmooth,BristolBristol,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,BristolBristol,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,BristolBristol,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,BristolBristol,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Charlottesville,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Charlottesville,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Charlottesville,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Charlottesville,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Harrisonburg,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Harrisonburg,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Harrisonburg,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Harrisonburg,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Kingsport,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Kingsport,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Kingsport,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Kingsport,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Roanoke,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Roanoke,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Roanoke,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Roanoke,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,VirginiaBeach,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,VirginiaBeach,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,VirginiaBeach,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,VirginiaBeach,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Winchester,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Winchester,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Winchester,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Winchester,0,0,0,0,0,0,0,0,0,0,0,0,0
