County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AddisonCounty,5941,3286,4693,12362,5437,5102
BenningtonCounty,6014,2678,3884,11964,5590,6995
CaledoniaCounty,5464,2404,3545,10203,4818,4793
ChittendenCounty,25314,13714,27523,53746,18563,17685
EssexCounty,940,378,536,2153,1079,1220
FranklinCounty,9631,3225,5125,17835,6122,5808
GrandIsleCounty,1130,420,607,2566,1268,979
LamoilleCounty,4471,1773,2923,8803,3241,3264
OrangeCounty,4881,1982,3047,10162,4588,4276
OrleansCounty,4703,1677,2840,9030,4157,4824
RutlandCounty,9592,4246,7214,20758,9575,10257
WashingtonCounty,9995,4146,6682,21099,8995,8617
WindhamCounty,7119,2839,4891,15138,7359,7167
WindsorCounty,9048,3244,5782,19324,9181,10091
