"SCTG","Payload","N"
1,12.2468285097997,3
2,10.8109049218736,10
3,11.5697754405585,53
4,6.88089706346147,23
5,15.3568767024241,9
6,5.92686271885712,3
7,15.0224373370552,62
8,8.20008944311053,12
9,12.5303662811142,0
10,17.6912743966916,27
11,14.7601763932821,8
12,14.0795452929602,132
13,14.57148120894,5
14,19.7343283246373,0
15,21.9759244651015,0
16,14.0428921341034,0
17,24.3515448152176,5
18,13.5579057465217,18
19,5.97683557503325,18
20,14.6935220971178,2
21,5.12434471305138,0
22,9.93234871988097,4
23,12.2174191704086,0
24,9.66549316294252,2
25,13.8298871093646,49
26,10.7171848815702,45
27,16.5382555630002,4
28,13.1552492378572,5
29,5.51350467372506,1
30,10.307661585523,0
31,14.7120056921472,32
32,12.2402812906222,5
33,3.39117108077879,38
34,16.8354879067246,17
35,6.91185118160956,1
36,3.60135849111352,44
37,17.1134794135312,4
38,4.51852664992441,0
39,8.01403962459359,16
40,6.36146415793491,170
41,10.4193197865007,56
43,14.2908607546331,18
99,10.8934974922361,2
