"County","Density"
"AdamsCounty",3.9
"AsotinCounty",2.3
"BentonCounty",11.4
"ChelanCounty",6.8
"ClallamCounty",14.9
"ClarkCounty",117
"ColumbiaCounty",1.6
"CowlitzCounty",26.7
"DouglasCounty",5.7
"FerryCounty",3.4
"FranklinCounty",8.6
"GarfieldCounty",3.2
"GrantCounty",13.1
"GraysHarborCounty",15.6
"IslandCounty",216.7
"JeffersonCounty",9.6
"KingCounty",39
"KitsapCounty",171.8
"KittitasCounty",7.2
"KlickitatCounty",6.6
"LewisCounty",19.2
"LincolnCounty",4.6
"MasonCounty",41.2
"OkanoganCounty",6.2
"PacificCounty",14.6
"PendOreilleCounty",7.7
"PierceCounty",39.6
"SanJuanCounty",90.7
"SkagitCounty",20.1
"SkamaniaCounty",6.7
"SnohomishCounty",41.8
"SpokaneCounty",40.5
"StevensCounty",14
"ThurstonCounty",88.4
"WahkiakumCounty",15.1
"WallaWallaCounty",8.1
"WhatcomCounty",25.6
"WhitmanCounty",5.7
"YakimaCounty",13.6
