"County","AdamsCounty","AsotinCounty","BentonCounty","ChelanCounty","ClallamCounty","ClarkCounty","ColumbiaCounty","CowlitzCounty","DouglasCounty","FerryCounty","FranklinCounty","GarfieldCounty","GrantCounty","GraysHarborCounty","IslandCounty","JeffersonCounty","KingCounty","KitsapCounty","KittitasCounty","KlickitatCounty","LewisCounty","LincolnCounty","MasonCounty","OkanoganCounty","PacificCounty","PendOreilleCounty","PierceCounty","SanJuanCounty","SkagitCounty","SkamaniaCounty","SnohomishCounty","SpokaneCounty","StevensCounty","ThurstonCounty","WahkiakumCounty","WallaWallaCounty","WhatcomCounty","WhitmanCounty","YakimaCounty"
"AdamsCounty",22.6,129,81.4,128,355.7,284,81.4,330.1,116.1,132.3,55.1,97.1,50.5,309.3,265.5,319.5,209.8,273.1,120.3,189.6,266.3,78.7,290.3,151.7,346.5,145.7,233.4,314.2,278.8,251.4,236.8,83,136.9,264.4,355.1,117.3,304.5,83,150
"AsotinCounty",129,13,152.7,251.2,457.5,348.4,77.6,392.7,239.3,234.1,137.4,42.9,173.6,411.1,367.3,421.3,311.6,374.9,222.1,260.8,351.3,162.2,392.1,266.1,448.3,182.1,335.3,416,380.6,315.9,338.6,119.4,177.9,366.1,419.6,112,406.3,62.8,217.9
"BentonCounty",81.4,152.7,21.6,149.2,351.4,221.3,77.3,265.5,161.4,211.3,28.1,120.8,95.7,304.9,261.1,315.1,205.4,268.7,115.9,109.4,199.9,162.6,285.9,214.5,269.1,215.3,229.1,309.8,274.4,188.8,232.4,152.6,206.5,260,292.4,68.1,300.1,130.6,66.6
"ChelanCounty",128,251.2,149.2,28.2,286.7,294,203.6,261.1,55.7,174.9,146.9,219.3,79.8,240.3,198.8,250.5,140.8,204.1,69.1,182.6,233.3,137.1,221.3,102.5,277.5,257.2,164.4,197.7,162.3,254.1,118,194.5,215.1,195.3,293.6,209.1,188,209.2,116.2
"ClallamCounty",355.7,457.5,351.4,286.7,26.6,246.2,410,213.3,322.7,386.7,353.3,425.6,319.8,143.2,79.9,61.8,157.5,94.3,236.9,341.5,185.5,395.5,114.8,314.3,207.6,485,137.1,141.6,130.4,272.8,114.6,422.3,476.2,147.6,245.8,418.1,152.4,411.6,293.8
"ClarkCounty",284,348.4,221.3,294,246.2,13.2,273.1,50.6,330,413.8,230.6,316.5,290.8,141.3,213.2,190.4,164.7,175.4,244.2,101.6,85.2,365.2,139.6,397.9,116.3,417.9,137.1,274.1,238.7,64.7,196.7,355.1,409,108.8,77.5,246.9,264.4,333.2,183.2
"ColumbiaCounty",81.4,77.6,77.3,203.6,410,273.1,15.2,317.3,191.8,249.2,73.2,45.7,126.1,363.5,319.7,373.7,264.1,327.4,174.5,185.5,276,149.1,344.6,230.6,383.1,190.5,287.7,368.5,333,240.6,291.1,127.8,193,318.6,344.3,36.7,358.8,68.5,142.6
"CowlitzCounty",330.1,392.7,265.5,261.1,213.3,50.6,317.3,17.6,297.1,437.4,274.9,360.8,294.1,108.3,180.2,157.5,131.8,142.5,211.2,145.9,52.3,369.9,106.7,364.9,89,459.3,104.2,241.2,205.8,77.1,163.8,396.6,450.5,75.9,50.1,291.2,231.5,377.4,187.8
"DouglasCounty",116.1,239.3,161.4,55.7,322.7,330,191.8,297.1,22.1,133.4,135.1,207.4,66.4,276.3,234.8,286.5,176.8,240.1,105.1,218.6,269.3,90.9,257.3,83.5,313.5,195.7,200.4,233.7,198.3,290.1,154,132.9,168.9,231.4,329.6,197.2,224,197.3,152.2
"FerryCounty",132.3,234.2,211.3,174.9,386.7,413.8,249.2,437.4,133.4,24.4,184.9,241.4,134.1,416.6,309.7,361.4,317.1,380.4,202.6,298.7,348.6,131,397.6,77.6,453.8,101.1,340.8,308.6,263.8,370.2,294.3,118.1,56.7,371.6,469.9,283.6,292.3,175.8,232.3
