"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.122549959181878,0.877450040818122,4,4
2,0.396971722195527,0.603028277804473,19,16
3,0.175224607619572,0.824775392380428,15,40
4,0.113801997311505,0.886198002688495,4,9
5,0.18153074228213,0.81846925771787,7,8
6,0.445599216057797,0.554400783942203,16,3
7,0.133336707661692,0.866663292338308,11,34
8,0.233455388714992,0.766544611285008,5,4
9,0.134342821827482,0.865657178172518,2,0
10,0.511086890555729,0.488913109444271,0,1
11,0.532061763030145,0.467938236969855,1,1
12,0.483043994647093,0.516956005352907,52,31
13,0.425186945483368,0.574813054516632,6,4
14,0.296984478905375,0.703015521094625,0,0
15,0.254762106060935,0.745237893939064,0,0
16,0.292247289852626,0.707752710147374,1,0
17,0.0512840369554983,0.948715963044502,1,1
18,0.727126812069952,0.272873187930048,12,2
19,0.645455468927782,0.354544531072218,9,4
20,0.153884141884506,0.846115858115494,4,3
21,0.48565728180227,0.51434271819773,2,0
22,0.524031040595919,0.475968959404081,16,7
23,0.513077938101022,0.486922061898978,8,2
24,0.143309869173441,0.856690130826559,3,3
25,0.10555524527169,0.89444475472831,8,33
26,0.268910647708881,0.731089352291119,26,23
27,0.0664638925860683,0.933536107413932,1,3
28,0.13006920545436,0.86993079454564,3,6
29,0.499509853805331,0.500490146194669,1,1
30,0.122154702334916,0.877845297665084,0,0
31,0.773247407579555,0.226752592420445,47,8
32,0.111533674229089,0.888466325770911,4,15
33,0.796448886377692,0.203551113622308,47,5
34,0.168346443218042,0.831653556781958,10,22
35,0.188086514346324,0.811913485653676,9,1
36,0.440803420003949,0.559196579996051,16,7
37,0.367009741021828,0.632990258978172,5,5
38,0.301345390186715,0.698654609813286,0,0
39,0.467902732359099,0.532097267640901,7,3
40,0.447265485742135,0.552734514257865,167,83
41,0.715262271075042,0.284737728924958,60,9
43,0.0194650380229355,0.980534961977065,4,34
99,0.646446399835973,0.353553600164027,7,0
