,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
0-0-0-0-0-1,0,0,0,0,0,0.373786068608957
0-0-0-0-0-2,0,0,0,0,0,0.370222874310068
0-0-0-0-1-0,0,0,0,0,0.168824221675404,0
0-0-0-0-1-1,0,0,0,0,0.110088798544988,0.071892684971704
0-0-0-0-1-2,0,0,0,0,0.00502835134267679,0.00684692237825753
0-0-0-0-2-0,0,0,0,0,0.326521878677651,0
0-0-0-0-2-1,0,0,0,0,0.0114475232694982,0.00370292740864948
0-0-0-0-2-2,0,0,0,0,0.000427944795121429,0.000279466219520715
0-0-0-1-0-0,0,0,0,0.108156191527867,0,0
0-0-0-1-0-1,0,0,0,0.0195086040305512,0,0.0444351289037938
0-0-0-1-0-2,0,0,0,0.00736173737001932,0,0.0339551456717669
0-0-0-1-1-0,0,0,0,0.0361952087359283,0.126243714560822,0
0-0-0-1-1-1,0,0,0,0.00395693383638539,0.0138012196426661,0.00901278557954307
0-0-0-1-1-2,0,0,0,0.000122695622833655,0.000427944795121429,0.000558932439041431
0-0-0-1-2-0,0,0,0,0.0042023250820527,0.0295281908633786,0
0-0-0-1-2-1,0,0,0,9.20217171252416e-05,0.000641917192682144,0.000209599664640537
0-0-0-2-0-0,0,0,0,0.19744793104506,0,0
0-0-0-2-0-1,0,0,0,0.00987699763810926,0,0.0106895828966674
0-0-0-2-0-2,0,0,0,0.00214717339958897,0,0.00482079228673234
0-0-0-2-1-0,0,0,0,0.00450906413913684,0.00748903391462501,0
0-0-0-2-1-1,0,0,0,0.000950891076960829,0.001497806782925,0.000978131768322504
0-0-0-2-1-2,0,0,0,6.13478114168277e-05,0.000106986198780357,0.000139733109760358
0-0-0-2-2-0,0,0,0,0.000521456397043035,0.00171177918048572,0
0-0-1-0-0-0,0,0,0.111784389979199,0,0,0
0-0-1-0-0-1,0,0,0.00524554580808538,0,0,0.00405226018305037
0-0-1-0-0-2,0,0,0.00262277290404269,0,0,0.00412212673793055
0-0-1-0-1-0,0,0,0.00904404449669892,0,0.0106986198780357,0
0-0-1-0-1-1,0,0,0.00397937957854753,0,0.00470739274633572,0.00307412841472787
0-0-1-0-1-2,0,0,0.000180880889933978,0,0.000213972397560715,0.000279466219520715
0-0-1-0-2-0,0,0,0.0120285791806096,0,0.0286723012731358,0
0-0-1-0-2-1,0,0,0.000271321334900968,0,0.000641917192682144,0.000209599664640537
0-0-1-1-0-0,0,0,0.0541738265352266,0.0183736695193399,0,0
0-0-1-1-0-1,0,0,0.00379849868861355,0.00128830403975338,0,0.00293439530496751
0-0-1-1-0-2,0,0,0.00108528533960387,0.000368086868500966,0,0.00188639698176483
0-0-1-1-1-0,0,0,0.0144704711947183,0.00490782491334622,0.0171177918048572,0
0-0-1-1-1-1,0,0,0.000994844894636882,0.000337412962792552,0.00117684818658393,0.000768532103681967
0-0-1-1-2-0,0,0,0.00162792800940581,0.000552130302751449,0.00385150315609286,0
