County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AlbanyCounty,5083,3722,11443,9287,3598,3166
BigHornCounty,2462,823,1140,3453,1682,2108
CampbellCounty,11027,3200,7389,16992,4909,2616
CarbonCounty,3173,885,2066,5491,2226,2044
ConverseCounty,2898,941,1565,4773,1880,1776
CrookCounty,1389,450,685,2308,1101,1150
FremontCounty,8607,2680,5024,12511,5496,5805
GoshenCounty,2198,985,1537,4151,1878,2500
HotSpringsCounty,805,251,452,1448,768,1088
JohnsonCounty,1555,497,815,2733,1381,1588
LaramieCounty,18847,5958,13128,30684,11616,11505
LincolnCounty,4256,1207,1804,6172,2426,2241
NatronaCounty,15052,5045,10949,25438,9574,9392
NiobraraCounty,378,132,249,848,364,513
ParkCounty,4877,1934,3283,8689,4480,4942
PlatteCounty,1400,536,762,2715,1457,1797
SheridanCounty,5324,1887,3350,9479,4528,4548
SubletteCounty,2033,581,1271,3914,1409,1039
SweetwaterCounty,10158,2939,6783,15135,5148,3643
TetonCounty,3422,964,3665,8364,2781,2098
UintaCounty,5325,1569,2572,7214,2564,1874
WashakieCounty,1796,551,819,2671,1188,1508
WestonCounty,1306,405,843,2446,1059,1149
