"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.183818631415849,0.816181368584151,9,18
2,0.768113456603436,0.231886543396564,44,9
3,0.475600245876574,0.524399754123426,25,17
4,0.411582682317112,0.588417317682888,14,8
5,0.0763722238391646,0.923627776160835,0,0
6,0.192501294148437,0.807498705851563,1,0
7,0.533292523331914,0.466707476668085,7,3
8,0.233455388714992,0.766544611285008,0,3
9,0.134342821827482,0.865657178172518,0,0
10,0.511086890555729,0.488913109444271,0,3
11,0.466290461620182,0.533709538379818,8,4
12,0.389692860307537,0.610307139692463,49,49
13,0.0129465842659461,0.987053415734054,2,11
14,0.296984478905375,0.703015521094625,0,0
15,0.254762106060935,0.745237893939064,3,4
16,0.292247289852626,0.707752710147374,2,6
17,0.0512840369554983,0.948715963044502,1,3
18,0.446904014576622,0.553095985423378,11,4
19,0.121091269107227,0.878908730892773,12,21
20,0.0131369640617035,0.986863035938296,1,9
21,0.48565728180227,0.51434271819773,1,0
22,0.634547071721447,0.365452928278553,3,3
23,0.220262195048898,0.779737804951102,1,0
24,0.143309869173441,0.856690130826559,0,2
25,0.305375359250402,0.694624640749598,6,5
26,0.311281684220248,0.688718315779752,10,5
27,0.0664638925860683,0.933536107413932,0,0
28,0.13006920545436,0.86993079454564,0,1
29,0.499509853805331,0.500490146194669,0,0
30,0.122154702334916,0.877845297665084,1,0
31,0.613236791312078,0.386763208687921,26,9
32,0.111509729259209,0.888490270740792,3,3
33,0.436075841462385,0.563924158537615,30,12
34,0.0450844977395971,0.954915502260403,7,53
35,0.267488635666556,0.732511364333444,0,1
36,0.565313800098116,0.434686199901884,14,5
37,0.0687078468861626,0.931292153113837,0,3
38,0.301345390186715,0.698654609813286,1,0
39,0.187779510082017,0.812220489917983,5,1
40,0.436730100504358,0.563269899495642,101,41
41,0.751248243100149,0.248751756899851,32,3
43,0.158845954613404,0.841154045386596,5,12
99,0.563201145574713,0.436798854425287,38,17
