County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AlleganyCounty,10284,5114,9616,26350,8489,17296
AnneArundelCounty,103955,34580,73365,186409,68825,118316
BaltimoreCounty,148827,55302,110274,264894,96051,181606
Baltimorecity,111007,34810,112445,253387,58875,94726
CalvertCounty,18712,5462,9166,31691,12074,23094
CarolineCounty,8208,2429,4749,12709,4851,8202
CarrollCounty,32799,9642,17878,54492,22644,45793
CecilCounty,27682,8081,17415,40822,17215,26984
CharlesCounty,40381,13799,22998,61813,26418,36740
DorchesterCounty,6312,2138,3996,11507,4884,9113
FrederickCounty,59223,16762,37458,93526,34740,63339
GarrettCounty,4856,1758,3418,9306,4212,8095
HarfordCounty,53364,15866,31383,89457,32386,61590
HowardCounty,63560,20998,38051,110980,40213,69550
KentCounty,2670,1315,2317,5419,2972,8007
MontgomeryCounty,217793,63691,137432,385561,130819,218906
PrinceGeorgesCounty,164376,56017,144741,311181,102702,160533
QueenAnnesCounty,10597,3055,5429,18628,7750,14890
SomersetCounty,3601,2917,5967,8390,2883,5289
StMarysCounty,29973,9214,18995,48603,16242,25721
TalbotCounty,6438,1964,3744,10736,5148,14869
WashingtonCounty,33818,10672,24720,54675,21090,36728
WicomicoCounty,21521,9276,18814,33993,11685,23910
WorcesterCounty,8306,2778,5555,14872,9432,19608
