Year,AutoPropHev,AutoHevMpg,LtTruckPropHev,LtTruckHevMpg
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,0,0
1999,0,0,0,0
2000,0.002,32,0,0
2001,0.002,32,0,0
2002,0.002,32,0,0
2003,0.003,32,0,0
2004,0.003,32,0,0
2005,0.003,35.2,0,0
2006,0.004,35.2,0,0
2007,0.004,35.2,0,0
2008,0.004,35.2,0,0
2009,0.004,35.2,0,0
2010,0.005,36.8,0.01,27.6
2011,0.071,40.6,0.01,30.4
2012,0.098,40.7,0.01,30.5
2013,0.098,40.7,0.01,30.5
2014,0.098,41,0.01,30.7
2015,0.098,41.2,0.01,30.9
2016,0.098,41.3,0.01,31
2017,0.098,43.4,0.01,32.5
2018,0.098,44.3,0.01,33.2
2019,0.098,45.3,0.01,34
2020,0.098,47.8,0.01,35.8
2021,0.098,49.4,0.01,37.1
2022,0.098,51.6,0.01,38.7
2023,0.098,53.6,0.01,40.2
2024,0.098,54.7,0.01,41
2025,0.098,56.9,0.01,42.7
2026,0.098,56.9,0.01,42.7
2027,0.098,56.9,0.01,42.7
2028,0.098,56.9,0.01,42.7
2029,0.098,56.9,0.01,42.7
2030,0.098,56.9,0.01,42.6
2031,0.098,56.8,0.01,42.6
2032,0.098,56.8,0.01,42.6
2033,0.098,56.8,0.01,42.6
2034,0.098,56.8,0.01,42.6
2035,0.098,56.8,0.01,42.6
2036,0.098,56.7,0.01,42.6
2037,0.098,56.7,0.01,42.5
2038,0.098,56.7,0.01,42.5
2039,0.098,56.7,0.01,42.5
2040,0.098,56.7,0.01,42.5
2041,0.098,56.7,0.01,42.5
2042,0.098,56.7,0.01,42.5
2043,0.098,56.7,0.01,42.5
2044,0.098,56.7,0.01,42.5
2045,0.098,56.7,0.01,42.5
2046,0.098,56.7,0.01,42.5
2047,0.098,56.7,0.01,42.5
2048,0.098,56.7,0.01,42.5
2049,0.098,56.7,0.01,42.5
2050,0.098,56.7,0.01,42.5
