Year,CaliforniaLexington,Cumberland,Hagerstown,BaltimoreColumbiaTowson,Salisbury,WashingtonArlingtonAlexandria,PhiladelphiaCamdenWilmington
1990,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA
2010,0.24,0.24,0.24,0.24,0.24,0.24,0.24
2015,0.24,0.24,0.24,0.24,0.24,0.24,0.24
2020,0.24,0.24,0.24,0.24,0.24,0.24,0.24
2025,0.24,0.24,0.24,0.24,0.24,0.24,0.24
2030,0.24,0.24,0.24,0.24,0.24,0.24,0.24
2035,0.24,0.24,0.24,0.24,0.24,0.24,0.24
2040,0.24,0.24,0.24,0.24,0.24,0.24,0.24
2045,0.24,0.24,0.24,0.24,0.24,0.24,0.24
2050,0.24,0.24,0.24,0.24,0.24,0.24,0.24
