County,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Baltimorecity,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
AlleganyCounty,1.51152,1.51152,1.51152,1.51152,1.51152,1.51152,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762
AnneArundelCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
BaltimoreCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
CalvertCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
CarolineCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
CarrollCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
CecilCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
CharlesCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
DorchesterCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
FrederickCounty,1.51152,1.51152,1.51152,1.51152,1.51152,1.51152,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762
GarrettCounty,1.51152,1.51152,1.51152,1.51152,1.51152,1.51152,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762
HarfordCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
HowardCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
KentCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
MontgomeryCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
PrinceGeorgesCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
QueenAnnesCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
StMarysCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
SomersetCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
TalbotCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
WashingtonCounty,1.51152,1.51152,1.51152,1.51152,1.51152,1.51152,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762,1.331793762
WicomicoCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
WorcesterCounty,1.00704,1.00704,1.00704,1.00704,1.00704,1.00704,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607,0.887298607
