Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
ArtSmooth,BaltimoreColumbiaTowson,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,BaltimoreColumbiaTowson,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,BaltimoreColumbiaTowson,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,BaltimoreColumbiaTowson,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,CaliforniaLexington,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,CaliforniaLexington,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,CaliforniaLexington,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,CaliforniaLexington,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Hagerstown,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Hagerstown,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Hagerstown,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Hagerstown,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,PhiladelphiaCamdenWilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,PhiladelphiaCamdenWilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,PhiladelphiaCamdenWilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,PhiladelphiaCamdenWilmington,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,Salisbury,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,Salisbury,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,Salisbury,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,Salisbury,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtSmooth,WashingtonArlingtonAlexandria,0,0,0,0,0,0,0,0,0,0,0,0,0
FwySmooth,WashingtonArlingtonAlexandria,0,0,0,0,0,0,0,0,0,0,0,0,0
LtVehEco,WashingtonArlingtonAlexandria,0,0,0,0,0,0,0,0,0,0,0,0,0
TruckEco,WashingtonArlingtonAlexandria,0,0,0,0,0,0,0,0,0,0,0,0,0
